Date,Model,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,F1_Score,Precision,Recall,comment
Thu May 28 00:52:21 2020,Supervised_BILSTM,64,10,NaN,NaN,0.9981250166893005,0.669,0.6444683136412459,0.6960556844547564,0.6,Diverse domian Neela -gt
Thu May 28 01:49:21 2020,Student,64,10,0.96,0.5,"tf.Tensor(0.998, shape=(), dtype=float32)",0.6625,0.5965331739390316,0.7414561664190193,0.499,Diverse domain Nela gt
Thu May 28 01:49:41 2020,Teacher,64,10,0.96,0.5,"tf.Tensor(0.998, shape=(), dtype=float32)",0.6515,0.6333508679642293,0.6681465038845728,0.602,Diverse domain Nela gt
Thu May 28 04:36:19 2020,Student,64,10,0.95,0.5,"tf.Tensor(0.997, shape=(), dtype=float32)",0.6175,0.6062789500772002,0.6246023329798516,0.589,Diverse domain Nela gt- Consist_cost bt unlabel target
Thu May 28 04:36:38 2020,Teacher,64,10,0.95,0.5,"tf.Tensor(0.997, shape=(), dtype=float32)",0.6135,0.628543969245555,0.6049953746530989,0.654,Diverse domain Nela gt- Consist_cost bt unlabel target
Thu May 28 12:24:35 2020,Supervised_BILSTM,64,20,NaN,NaN,0.9975000023841858,0.676450967311541,0.578627280625543,0.6010830324909747,0.5577889447236181,same time domian Neela -gt
Thu May 28 15:51:30 2020,Student,64,20,0.98,0.5,"tf.Tensor(0.99866664, shape=(), dtype=float32)",0.6684456304202802,0.6231993934799089,0.5692520775623269,0.6884422110552764,Same time domain Nela gt- Consist_cost btw unlabel target
Thu May 28 15:51:45 2020,Teacher,64,20,0.98,0.5,"tf.Tensor(0.99866664, shape=(), dtype=float32)",0.6744496330887259,0.6199376947040498,0.5793304221251819,0.6666666666666666,Diverse domain Nela gt- Consist_cost btw unlabel target
Thu May 28 20:25:24 2020,Student,64,10,0.94,0.5,1.0,0.6313917296576256,0.6986550345328971,0.6650519031141868,0.7358346094946401,LabelledDataset- Consist_cost btw unlabel target
Thu May 28 20:25:45 2020,Teacher,64,10,0.94,0.5,1.0,0.6327256558470431,0.6996363636363636,0.6662049861495845,0.7366003062787136,labelled Dataset- Consist_cost btw unlabel target
Thu May 28 21:04:50 2020,Supervised_BILSTM,64,10,NaN,NaN,1.0,0.6073810582481103,0.6764382557713449,0.6486296556570625,0.7067381316998469,Labelled data
Fri May 29 01:03:03 2020,Student,64,10,0.94,0.5,0.999555766582489,0.6024899955535794,0.6807142857142858,0.6378848728246319,0.7297090352220521,LabelledDataset- Consist_cost btw unlabel target
Fri May 29 01:03:25 2020,Teacher,64,10,0.94,0.5,0.999555766582489,0.5971542907959093,0.6733958183129055,0.6362397820163488,0.7151607963246555,labelled Dataset- Consist_cost btw unlabel target
Fri May 29 01:06:29 2020,Student,64,10,0.94,0.5,0.999555766582489,0.6024899955535794,0.6807142857142858,0.6378848728246319,0.7297090352220521,LabelledDataset- Consist_cost btw unlabel target
Fri May 29 01:06:39 2020,Teacher,64,10,0.94,0.5,0.999555766582489,0.5971542907959093,0.6733958183129055,0.6362397820163488,0.7151607963246555,labelled Dataset- Consist_cost btw unlabel target
Fri May 29 02:03:47 2020,Student,64,10,0.93,0.5,0.972900927066803,0.6589595375722543,0.7428762990278244,0.6607036374478235,0.8483920367534457,LabelledDataset- Consist_cost btw unlabel target
Fri May 29 02:03:58 2020,Teacher,64,10,0.93,0.5,0.972900927066803,0.6803023566029346,0.7390199637023593,0.7025534851621809,0.77947932618683,labelled Dataset- Consist_cost btw unlabel target
Fri May 29 02:04:19 2020,Student,64,10,0.93,0.5,0.972900927066803,0.6589595375722543,0.7428762990278244,0.6607036374478235,0.8483920367534457,LabelledDataset- Consist_cost btw noise target
Fri May 29 02:04:30 2020,Teacher,64,10,0.93,0.5,0.972900927066803,0.6803023566029346,0.7390199637023593,0.7025534851621809,0.77947932618683,labelled Dataset- Consist_cost btw noise target
Fri May 29 02:13:26 2020,Supervised_BILSTM,64,10,NaN,NaN,0.9672222137451172,0.6794130724766563,0.744235544519333,0.6933245208195637,0.8032159264931087,Labelled data
Fri May 29 02:42:07 2020,Supervised_BILSTM,64,10,NaN,NaN,0.9355555772781372,0.6353935082258781,0.6468561584840655,0.7391732283464567,0.5750382848392037,Labelled data
Fri May 29 03:28:40 2020,Student,64,10,0.89,0.5,0.7974233627319336,0.632281013783904,0.7103327495621717,0.6546158812136863,0.776416539050536,LabelledDataset- Consist_cost btw noise target
Fri May 29 03:28:51 2020,Teacher,64,10,0.89,0.5,0.7974233627319336,0.622054246331703,0.6935832732516222,0.6553133514986376,0.7366003062787136,labelled Dataset- Consist_cost btw noise target
Fri May 29 03:41:26 2020,Supervised_BILSTM,64,10,NaN,NaN,0.92166668176651,0.606491774121832,0.5843118835133866,0.755771567436209,0.4762633996937213,Labelled data
Fri May 29 04:43:37 2020,Student,64,10,0.9299999999999999,0.5,0.8671701550483704,0.6545131169408626,0.7365208545269584,0.6609860012172855,0.8315467075038285,LabelledDataset- Consist_cost btw noise target
Fri May 29 04:43:49 2020,Teacher,64,10,0.9299999999999999,0.5,0.8671701550483704,0.6242774566473989,0.7381468856523087,0.6199895887558563,0.9119448698315467,labelled Dataset- Consist_cost btw noise target
Fri May 29 05:30:23 2020,Student,64,10,0.93,0.5,0.9360284209251404,0.6496220542463317,0.671118530884808,0.7376146788990826,0.6156202143950995,LabelledDataset- Consist_cost btw noise target
Fri May 29 05:30:34 2020,Teacher,64,10,0.93,0.5,0.9360284209251404,0.6616273899510894,0.7049243892981776,0.7140612725844462,0.6960183767228177,labelled Dataset- Consist_cost btw noise target
Fri May 29 14:53:48 2020,Student,64,10,0.99,0.5,0.9684584736824036,0.6634059582036461,0.7327920931874338,0.6797642436149313,0.7947932618683001,LabelledDataset- Consist_cost btw noise target
Fri May 29 14:53:58 2020,Teacher,64,10,0.99,0.5,0.9684584736824036,0.6433970653623833,0.7396103896103896,0.6420518602029313,0.8721286370597243,labelled Dataset- Consist_cost btw noise target
Fri May 29 15:14:28 2020,Student,64,10,0.995,0.5,0.8529542684555054,0.6456202756780791,0.7525613163613786,0.6328981723237598,0.9280245022970903,LabelledDataset- Consist_cost btw noise target
Fri May 29 15:14:36 2020,Teacher,64,10,0.995,0.5,0.8529542684555054,0.6353935082258781,0.7405063291139241,0.6310679611650486,0.8958652373660031,labelled Dataset- Consist_cost btw noise target
Fri May 29 15:43:28 2020,Supervised_BILSTM,64,10,NaN,NaN,0.9266666769981384,0.6558470431302801,0.6903999999999999,0.7227805695142379,0.6607963246554365,Labelled data
Fri May 29 16:25:31 2020,Supervised_BILSTM,64,10,NaN,NaN,0.9277777671813965,0.6776345042240997,0.7025030775543701,0.7656529516994633,0.6489764973464746,Labelled data
Fri May 29 16:26:35 2020,Supervised_BILSTM,64,10,NaN,NaN,0.9277777671813965,0.6776345042240997,0.7025030775543701,0.7656529516994633,0.6489764973464746,Labelled data_spacy
Fri May 29 17:05:37 2020,Student,64,10,0.9900000000000001,0.5,0.9462460875511169,0.6411738550466874,0.6707466340269278,0.7179039301310044,0.6294027565084227,LabelledDataset- Consist_cost btw noise target
