Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,Classification_Loss,comment
Thu Aug 27 06:38:10 2020,Student,0.0001,64,10,0.99,0.5,0.828762948513031,0.7131147540983607,0.7457627118644068,0.6825396825396826,0.6875,0.7413793103448276,0.7154471544715446,0.7107438016528926,0.5317093729972839,Dropouts
Thu Aug 27 06:38:11 2020,Teacher,0.0001,64,10,0.99,0.5,0.828762948513031,0.6557377049180327,0.8142857142857143,0.5919540229885057,0.4453125,0.8879310344827587,0.5757575757575757,0.7103448275862069,0.6582639813423157,Dropouts
Thu Aug 27 06:42:11 2020,Student,0.0001,64,15,0.99,0.5,0.9293113946914673,0.7418032786885246,0.7124183006535948,0.7912087912087912,0.8515625,0.6206896551724138,0.7758007117437722,0.6956521739130435,0.5843562483787537,Dropouts
Thu Aug 27 06:42:12 2020,Teacher,0.0001,64,15,0.99,0.5,0.9293113946914673,0.7295081967213115,0.7348484848484849,0.7232142857142857,0.7578125,0.6982758620689655,0.7461538461538462,0.7105263157894737,0.5292150974273682,Dropouts
Thu Aug 27 06:46:13 2020,Student,0.0001,64,20,0.99,0.5,0.962218165397644,0.7131147540983607,0.7013888888888888,0.73,0.7890625,0.6293103448275862,0.7426470588235293,0.6759259259259258,0.6983962059020996,Dropouts
Thu Aug 27 06:46:14 2020,Teacher,0.0001,64,20,0.99,0.5,0.962218165397644,0.7090163934426229,0.7111111111111111,0.7064220183486238,0.75,0.6637931034482759,0.7300380228136881,0.6844444444444445,0.5745208263397217,Dropouts
Thu Aug 27 06:50:15 2020,Student,0.0001,64,25,0.99,0.5,0.979280948638916,0.7336065573770492,0.7368421052631579,0.7297297297297297,0.765625,0.6982758620689655,0.7509578544061302,0.7136563876651983,0.8439906239509583,Dropouts
Thu Aug 27 06:50:16 2020,Teacher,0.0001,64,25,0.99,0.5,0.979280948638916,0.7131147540983607,0.704225352112676,0.7254901960784313,0.78125,0.6379310344827587,0.7407407407407407,0.6788990825688075,0.6967300176620483,Dropouts
Thu Aug 27 06:54:17 2020,Student,0.0001,64,30,0.99,0.5,0.9902498722076416,0.7336065573770492,0.7333333333333333,0.7339449541284404,0.7734375,0.6896551724137931,0.7528517110266159,0.7111111111111111,0.9467861652374268,Dropouts
Thu Aug 27 06:54:17 2020,Teacher,0.0001,64,30,0.99,0.5,0.9902498722076416,0.7295081967213115,0.7246376811594203,0.7358490566037735,0.78125,0.6724137931034483,0.7518796992481203,0.7027027027027026,0.8363581299781799,Dropouts
Thu Aug 27 07:02:37 2020,Student,0.0001,64,10,0.99,0.5,0.678244948387146,0.569672131147541,0.9310344827586207,0.5209302325581395,0.2076923076923077,0.9824561403508771,0.33962264150943394,0.6808510638297872,0.6521796584129333,Dropouts
Thu Aug 27 07:02:38 2020,Teacher,0.0001,64,10,0.99,0.5,0.678244948387146,0.6147540983606558,0.7368421052631579,0.5595238095238095,0.4307692307692308,0.8245614035087719,0.5436893203883496,0.6666666666666666,0.6870959997177124,Dropouts
Thu Aug 27 07:06:36 2020,Student,0.0001,64,15,0.99,0.5,0.667885422706604,0.6721311475409836,0.6262626262626263,0.8695652173913043,0.9538461538461539,0.3508771929824561,0.7560975609756098,0.4999999999999999,0.6142687201499939,Dropouts
Thu Aug 27 07:06:36 2020,Teacher,0.0001,64,15,0.99,0.5,0.667885422706604,0.6885245901639344,0.640625,0.8653846153846154,0.9461538461538461,0.39473684210526316,0.763975155279503,0.5421686746987951,0.6202529668807983,Dropouts
Thu Aug 27 07:10:35 2020,Student,0.0001,64,20,0.99,0.5,0.7282145023345947,0.5778688524590164,0.8292682926829268,0.5270935960591133,0.26153846153846155,0.9385964912280702,0.39766081871345027,0.6750788643533123,0.6346228718757629,Dropouts
Thu Aug 27 07:10:35 2020,Teacher,0.0001,64,20,0.99,0.5,0.7282145023345947,0.6680327868852459,0.6218905472636815,0.8837209302325582,0.9615384615384616,0.3333333333333333,0.755287009063444,0.48407643312101906,0.60155189037323,Dropouts
Thu Aug 27 07:14:35 2020,Student,0.0001,64,25,0.99,0.5,0.6855576038360596,0.6639344262295082,0.7352941176470589,0.6126760563380281,0.5769230769230769,0.7631578947368421,0.646551724137931,0.6796875,0.6414632201194763,Dropouts
Thu Aug 27 07:14:35 2020,Teacher,0.0001,64,25,0.99,0.5,0.6855576038360596,0.6024590163934426,0.7894736842105263,0.5454545454545454,0.34615384615384615,0.8947368421052632,0.48128342245989303,0.6777408637873754,0.6155349612236023,Dropouts
Thu Aug 27 07:18:35 2020,Student,0.0001,64,30,0.99,0.5,0.9128580093383789,0.7418032786885246,0.7375886524822695,0.7475728155339806,0.8,0.6754385964912281,0.7675276752767527,0.7096774193548386,0.5876327753067017,Dropouts
Thu Aug 27 07:18:36 2020,Teacher,0.0001,64,30,0.99,0.5,0.9128580093383789,0.7213114754098361,0.7583333333333333,0.6854838709677419,0.7,0.7456140350877193,0.728,0.7142857142857142,0.5795783996582031,Dropouts
Thu Aug 27 07:27:01 2020,Student,0.0001,64,10,0.99,0.5,0.7708714008331299,0.6721311475409836,0.7553191489361702,0.62,0.5546875,0.8017241379310345,0.6396396396396398,0.699248120300752,0.5688931941986084,Dropouts
Thu Aug 27 07:27:01 2020,Teacher,0.0001,64,10,0.99,0.5,0.7708714008331299,0.6229508196721312,0.6022727272727273,0.6764705882352942,0.828125,0.39655172413793105,0.6973684210526316,0.5,0.676665186882019,Dropouts
Thu Aug 27 07:31:12 2020,Student,0.0001,64,15,0.99,0.5,0.9305301904678345,0.7090163934426229,0.728,0.6890756302521008,0.7109375,0.7068965517241379,0.7193675889328064,0.6978723404255319,0.813336968421936,Dropouts
Thu Aug 27 07:31:12 2020,Teacher,0.0001,64,15,0.99,0.5,0.9305301904678345,0.6844262295081968,0.628140703517588,0.9333333333333333,0.9765625,0.3620689655172414,0.7645259938837922,0.5217391304347826,0.5958994626998901,Dropouts
Thu Aug 27 07:35:13 2020,Student,0.0001,64,20,0.99,0.5,0.9768434166908264,0.6639344262295082,0.7053571428571429,0.6287878787878788,0.6171875,0.7155172413793104,0.6583333333333334,0.6693548387096774,1.1809232234954834,Dropouts
Thu Aug 27 07:35:13 2020,Teacher,0.0001,64,20,0.99,0.5,0.9768434166908264,0.7172131147540983,0.7034482758620689,0.7373737373737373,0.796875,0.6293103448275862,0.7472527472527473,0.6790697674418604,0.652005136013031,Dropouts
