Date,Model,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,F1_Score,Precision,Recall,comment
Fri May 29 19:15:14 2020,Supervised_BILSTM,64,10,NaN,NaN,0.8738889098167419,0.6336149399733215,0.6620180475799836,0.7128975265017667,0.6179173047473201,Labelled data_spacy
Fri May 29 19:57:34 2020,Student,64,10,0.9,0.5,0.9227010011672974,0.6256113828368164,0.630701754385965,0.7381930184804928,0.5505359877488515,LabelledDataset- Consist_cost btw noise target
Fri May 29 19:57:45 2020,Teacher,64,10,0.9,0.5,0.9227010011672974,0.609159626500667,0.5879043600562588,0.7581620314389359,0.48009188361408883,Labelled Dataset- Consist_cost btw noise target
Fri May 29 20:05:05 2020,Supervised_BILSTM,64,10,NaN,NaN,0.9511111378669739,0.6514006224988884,0.7012195121951219,0.6980273141122914,0.7044410413476263,Labelled data_spacy
Fri May 29 20:47:02 2020,Student,64,10,0.9,0.5,0.760550856590271,0.5162294353045798,0.4749034749034749,0.6422976501305483,0.3767228177641654,LabelledDataset- Consist_cost btw noise target
Fri May 29 20:47:13 2020,Teacher,64,10,0.9,0.5,0.760550856590271,0.6260560248999555,0.712871287128713,0.6432532347504621,0.7993874425727412,Labelled Dataset- Consist_cost btw noise target
Fri May 29 20:54:25 2020,Supervised_BILSTM,64,10,NaN,NaN,0.7816666960716248,0.5735882614495331,0.678511565538049,0.6034585569469291,0.774885145482389,Labelled data_spacy
Fri May 29 21:37:12 2020,Student,64,10,0.9,0.5,0.9831185936927795,0.6598488216985327,0.7085714285714284,0.7050796057619408,0.7120980091883614,LabelledDataset- Consist_cost btw noise target
Fri May 29 21:37:23 2020,Teacher,64,10,0.9,0.5,0.9831185936927795,0.6540684748777235,0.6808859721082854,0.7332155477031802,0.6355283307810107,Labelled Dataset- Consist_cost btw noise target
Fri May 29 21:44:41 2020,Supervised_BILSTM,64,10,NaN,NaN,0.6733333468437195,0.5980435749221876,0.7018469656992083,0.6164542294322132,0.8147013782542113,Labelled data_spacy
Fri May 29 22:27:39 2020,Student,64,10,0.91,0.5,0.960017740726471,0.6331702979101823,0.6373626373626374,0.7481940144478845,0.5551301684532925,LabelledDataset- Consist_cost btw noise target
Fri May 29 22:27:50 2020,Teacher,64,10,0.91,0.5,0.960017740726471,0.6442863494886616,0.6688741721854303,0.7279279279279279,0.6186830015313936,Labelled Dataset- Consist_cost btw noise target
Fri May 29 22:35:07 2020,Supervised_BILSTM,64,10,NaN,NaN,0.8505555391311646,0.5362383281458426,0.409734012450481,0.7852494577006508,0.2771822358346095,Labelled data_spacy
Fri May 29 23:17:07 2020,Student,64,10,0.91,0.5,0.8951576948165894,0.6242774566473989,0.6605062274005624,0.694843617920541,0.6294027565084227,LabelledDataset- Consist_cost btw noise target
