Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,F1_Score,Precision,Recall,comment
Sat Jun  6 12:56:29 2020,Supervised_BILSTM,0.0005,64,10,NaN,NaN,0.9994438290596008,0.6181575433911882,0.6055172413793104,0.6271428571428571,0.5853333333333334,Labelled data- Equal label
Sat Jun  6 13:39:45 2020,Student,0.0005,64,10,0.9,0.5,0.998665452003479,0.6068090787716955,0.5665930831493746,0.632183908045977,0.5133333333333333,LabelledDataset- equal Label
Sat Jun  6 13:39:52 2020,Teacher,0.0005,64,10,0.9,0.5,0.998665452003479,0.602803738317757,0.5475285171102662,0.6371681415929203,0.48,Labelled Dataset- equal label
Sat Jun  6 13:47:00 2020,Supervised_BILSTM,0.0005,64,10,NaN,NaN,1.0,0.5974632843791722,0.5944855413584399,0.5997286295793759,0.5893333333333334,Labelled data- Equal label
Sat Jun  6 14:29:34 2020,Student,0.0005,64,10,0.9,0.5,0.9982206225395203,0.5974632843791722,0.5037037037037037,0.6580645161290323,0.408,LabelledDataset- equal Label
Sat Jun  6 14:29:42 2020,Teacher,0.0005,64,10,0.9,0.5,0.9982206225395203,0.6061415220293725,0.5426356589147288,0.6481481481481481,0.4666666666666667,Labelled Dataset- equal label
Sat Jun  6 14:37:05 2020,Supervised_BILSTM,0.0005,64,10,NaN,NaN,1.0,0.5974632843791722,0.5998672859986729,0.5970937912813739,0.6026666666666667,Labelled data- Equal label
Sat Jun  6 15:19:30 2020,Student,0.0005,64,10,0.9,0.5,1.0,0.5987983978638184,0.5308352849336455,0.64030131826742,0.4533333333333333,LabelledDataset- equal Label
Sat Jun  6 15:19:38 2020,Teacher,0.0005,64,10,0.9,0.5,1.0,0.5987983978638184,0.5278868813825608,0.6424474187380497,0.448,Labelled Dataset- equal label
Sat Jun  6 15:26:51 2020,Supervised_BILSTM,0.0005,64,10,NaN,NaN,1.0,0.6275033377837116,0.6103351955307261,0.6407624633431085,0.5826666666666667,Labelled data- Equal label
Sat Jun  6 16:08:55 2020,Student,0.0005,64,10,0.9,0.5,0.9991103410720825,0.6014686248331108,0.5197103781174578,0.6551724137931034,0.43066666666666664,LabelledDataset- equal Label
Sat Jun  6 16:09:02 2020,Teacher,0.0005,64,10,0.9,0.5,0.9991103410720825,0.6101468624833111,0.5548780487804879,0.6476868327402135,0.48533333333333334,Labelled Dataset- equal label
Sat Jun  6 16:16:15 2020,Supervised_BILSTM,0.0005,64,10,NaN,NaN,1.0,0.6181575433911882,0.6447204968944099,0.6034883720930233,0.692,Labelled data- Equal label
Sat Jun  6 16:58:23 2020,Student,0.0005,64,10,0.9,0.5,0.9946619272232056,0.6008010680907877,0.5306122448979592,0.6450381679389313,0.45066666666666666,LabelledDataset- equal Label
Sat Jun  6 16:58:31 2020,Teacher,0.0005,64,10,0.9,0.5,0.9946619272232056,0.6054739652870494,0.5498857578065499,0.6412078152753108,0.48133333333333334,Labelled Dataset- equal label
Sat Jun  6 17:05:46 2020,Supervised_BILSTM,0.0005,64,10,NaN,NaN,0.9983314871788025,0.6141522029372497,0.5900709219858156,0.6303030303030303,0.5546666666666666,Labelled data- Equal label
Sat Jun  6 17:47:40 2020,Student,0.0005,64,10,0.9,0.5,0.998665452003479,0.5921228304405874,0.5259891388673391,0.6289424860853432,0.452,LabelledDataset- equal Label
Sat Jun  6 17:47:48 2020,Teacher,0.0005,64,10,0.9,0.5,0.998665452003479,0.6008010680907877,0.5320813771517997,0.6439393939393939,0.4533333333333333,Labelled Dataset- equal label
Sat Jun  6 17:54:58 2020,Supervised_BILSTM,0.0005,64,10,NaN,NaN,1.0,0.6188251001335113,0.619586942038641,0.6191744340878829,0.62,Labelled data- Equal label
