Date,Model,Learning rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,F1_Score,Precision,Recall,comment,Learning Rate
Sat Jun  6 06:59:44 2020,Supervised_BILSTM,,64,10,NaN,NaN,1.0,0.589452603471295,0.5813478556841389,0.5938803894297635,0.5693333333333334,Labelled data- Equal label,0.0005
Sat Jun  6 07:40:10 2020,Student,,64,10,0.95,0.5,0.998665452003479,0.602803738317757,0.561532792925571,0.627677100494234,0.508,LabelledDataset- equal Label,0.0005
Sat Jun  6 07:40:17 2020,Teacher,,64,10,0.95,0.5,0.998665452003479,0.5961281708945261,0.5468164794007491,0.6239316239316239,0.4866666666666667,Labelled Dataset- equal label,0.0005
Sat Jun  6 07:47:20 2020,Supervised_BILSTM,,64,10,NaN,NaN,0.9994438290596008,0.5867823765020027,0.5384041759880686,0.61082910321489,0.48133333333333334,Labelled data- Equal label,0.0005
Sat Jun  6 08:27:42 2020,Student,,64,10,0.95,0.5,0.998665452003479,0.5887850467289719,0.5179968701095462,0.6268939393939394,0.44133333333333336,LabelledDataset- equal Label,0.0005
Sat Jun  6 08:27:50 2020,Teacher,,64,10,0.95,0.5,0.998665452003479,0.5901201602136181,0.5334346504559271,0.6201413427561837,0.468,Labelled Dataset- equal label,0.0005
Sat Jun  6 08:34:56 2020,Supervised_BILSTM,,64,10,NaN,NaN,1.0,0.6081441922563418,0.619078520441272,0.6030341340075853,0.636,Labelled data- Equal label,0.0005
Sat Jun  6 09:15:14 2020,Student,,64,10,0.95,0.5,0.9982206225395203,0.5941255006675568,0.55096011816839,0.6175496688741722,0.49733333333333335,LabelledDataset- equal Label,0.0005
Sat Jun  6 09:15:22 2020,Teacher,,64,10,0.95,0.5,0.9982206225395203,0.5987983978638184,0.5380476556495003,0.6352087114337568,0.4666666666666667,Labelled Dataset- equal label,0.0005
Sat Jun  6 09:22:21 2020,Supervised_BILSTM,,64,10,NaN,NaN,0.9994438290596008,0.6014686248331108,0.6110749185667751,0.597452229299363,0.6253333333333333,Labelled data- Equal label,0.0005
Sat Jun  6 10:03:04 2020,Student,,64,10,0.95,0.5,0.9982206225395203,0.6041388518024032,0.5544703230653644,0.6351118760757315,0.492,LabelledDataset- equal Label,0.0005
Sat Jun  6 10:03:11 2020,Teacher,,64,10,0.95,0.5,0.9982206225395203,0.6048064085447263,0.5494672754946727,0.6400709219858156,0.48133333333333334,Labelled Dataset- equal label,0.0005
Sat Jun  6 10:10:16 2020,Supervised_BILSTM,,64,10,NaN,NaN,1.0,0.6295060080106809,0.6287625418060201,0.6308724832214765,0.6266666666666667,Labelled data- Equal label,0.0005
Sat Jun  6 10:50:46 2020,Student,,64,10,0.95,0.5,0.9995551705360413,0.5834445927903872,0.5315315315315314,0.6082474226804123,0.472,LabelledDataset- equal Label,0.0005
Sat Jun  6 10:50:54 2020,Teacher,,64,10,0.95,0.5,0.9995551705360413,0.5834445927903872,0.5147744945567652,0.6175373134328358,0.44133333333333336,Labelled Dataset- equal label,0.0005
Sat Jun  6 10:57:59 2020,Supervised_BILSTM,,64,10,NaN,NaN,1.0,0.6181575433911882,0.606060606060606,0.6267806267806267,0.5866666666666667,Labelled data- Equal label,0.0005
Sat Jun  6 11:38:38 2020,Student,,64,10,0.95,0.5,0.9991103410720825,0.5787716955941254,0.4988085782366958,0.6168958742632613,0.4186666666666667,LabelledDataset- equal Label,0.0005
Sat Jun  6 11:38:45 2020,Teacher,,64,10,0.95,0.5,0.9991103410720825,0.5807743658210948,0.5131782945736434,0.6129629629629629,0.44133333333333336,Labelled Dataset- equal label,0.0005
Sat Jun  6 11:45:54 2020,Supervised_BILSTM,,64,10,NaN,NaN,0.9955506324768066,0.6328437917222964,0.5736434108527132,0.6851851851851852,0.49333333333333335,Labelled data- Equal label,0.0005
Sat Jun  6 12:27:06 2020,Student,,64,10,0.95,0.5,0.998665452003479,0.5834445927903872,0.46757679180887374,0.6492890995260664,0.36533333333333334,LabelledDataset- equal Label,0.0005
Sat Jun  6 12:27:13 2020,Teacher,,64,10,0.95,0.5,0.998665452003479,0.6041388518024032,0.5469824293353704,0.6404293381037567,0.47733333333333333,Labelled Dataset- equal label,0.0005
Sat Jun  6 12:34:26 2020,Supervised_BILSTM,,64,10,NaN,NaN,0.9988876581192017,0.6268357810413885,0.6066150598170302,0.6423248882265276,0.5746666666666667,Labelled data- Equal label,0.0005
