Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,F1_Score,Precision,Recall,comment
Sun Jun  7 23:03:10 2020,Supervised_BILSTM,0.0005,64,20,NaN,NaN,1.0,0.6174899866488651,0.623768877216021,0.6144890038809832,0.6333333333333333,Labelled data- Equal label
Mon Jun  8 00:23:32 2020,Student,0.0005,64,20,0.99,0.5,1.0,0.5861148197596796,0.5274390243902439,0.6156583629893239,0.4613333333333333,LabelledDataset- equal Label
Mon Jun  8 00:23:39 2020,Teacher,0.0005,64,20,0.99,0.5,1.0,0.5867823765020027,0.5190365190365189,0.6219739292364991,0.44533333333333336,Labelled Dataset- equal label
Mon Jun  8 00:37:18 2020,Supervised_BILSTM,0.0005,64,20,NaN,NaN,1.0,0.6161548731642189,0.6020761245674741,0.6258992805755396,0.58,Labelled data- Equal label
Mon Jun  8 01:56:03 2020,Student,0.0005,64,20,0.99,0.5,1.0,0.5847797062750334,0.5316265060240964,0.610726643598616,0.4706666666666667,LabelledDataset- equal Label
Mon Jun  8 01:56:11 2020,Teacher,0.0005,64,20,0.99,0.5,1.0,0.589452603471295,0.5316070068545317,0.6198934280639432,0.4653333333333333,Labelled Dataset- equal label
Mon Jun  8 02:09:43 2020,Supervised_BILSTM,0.0005,64,20,NaN,NaN,1.0,0.6375166889185581,0.6353257219610476,0.6400541271989174,0.6306666666666667,Labelled data- Equal label
Mon Jun  8 04:32:03 2020,Supervised_BILSTM,0.0001,64,20,NaN,NaN,0.9582870006561279,0.6141522029372497,0.5316045380875203,0.6776859504132231,0.43733333333333335,Labelled data- Equal label
Mon Jun  8 05:53:08 2020,Student,0.0001,64,20,0.99,0.5,0.996886134147644,0.62283044058745,0.5872899926953982,0.6494345718901454,0.536,LabelledDataset- equal Label
Mon Jun  8 05:53:16 2020,Teacher,0.0001,64,20,0.99,0.5,0.996886134147644,0.6268357810413885,0.5952208544532946,0.6513470681458003,0.548,Labelled Dataset- no pre training equal label
Mon Jun  8 06:07:10 2020,Supervised_BILSTM,0.0001,64,20,NaN,NaN,0.9844271540641785,0.6348464619492656,0.6384666226040977,0.6330275229357798,0.644,Labelled data- Equal label
Mon Jun  8 07:26:40 2020,Student,0.0001,64,20,0.99,0.5,0.998665452003479,0.6014686248331108,0.5639152666179694,0.6235864297253635,0.5146666666666667,LabelledDataset- equal Label
Mon Jun  8 07:26:48 2020,Teacher,0.0001,64,20,0.99,0.5,0.998665452003479,0.6081441922563418,0.5786073223259153,0.6267496111975117,0.5373333333333333,Labelled Dataset- no pre training equal label
Mon Jun  8 07:41:16 2020,Supervised_BILSTM,0.0001,64,20,NaN,NaN,0.92046719789505,0.5807743658210948,0.5698630136986302,0.5859154929577465,0.5546666666666666,Labelled data- Equal label
Mon Jun  8 08:14:00 2020,Supervised_BILSTM,0.0001,64,20,NaN,NaN,0.9766407012939453,0.6141522029372497,0.6057298772169168,0.6201117318435754,0.592,Labelled data- Equal label
Mon Jun  8 09:43:15 2020,Student,0.0001,64,20,0.99,0.5,0.9848754405975342,0.616822429906542,0.6002785515320334,0.6282798833819242,0.5746666666666667,LabelledDataset- equal Label
Mon Jun  8 09:43:24 2020,Teacher,0.0001,64,20,0.99,0.5,0.9848754405975342,0.6181575433911882,0.594900849858357,0.6344410876132931,0.56,Labelled Dataset- pre training equal label
Mon Jun  8 09:58:55 2020,Supervised_BILSTM,0.0001,64,20,NaN,NaN,0.9733036756515503,0.6201602136181575,0.6739255014326647,0.5909547738693467,0.784,Labelled data- Equal label
Mon Jun  8 11:26:38 2020,Student,0.0001,64,20,0.99,0.5,0.9995551705360413,0.6114819759679573,0.5776487663280115,0.6337579617834395,0.5306666666666666,LabelledDataset- equal Label
Mon Jun  8 11:26:46 2020,Teacher,0.0001,64,20,0.99,0.5,0.9995551705360413,0.6108144192256342,0.5639491398653703,0.6422487223168655,0.5026666666666667,Labelled Dataset- pre training equal label
Mon Jun  8 11:43:40 2020,Supervised_BILSTM,0.0001,64,20,NaN,NaN,0.9888765215873718,0.6348464619492656,0.6384666226040977,0.6330275229357798,0.644,Labelled data- Equal label
Mon Jun  8 13:28:19 2020,Student,0.0001,64,20,0.99,0.5,0.9946619272232056,0.6021361815754339,0.5106732348111659,0.6645299145299145,0.4146666666666667,LabelledDataset- equal Label
Mon Jun  8 13:28:27 2020,Teacher,0.0001,64,20,0.99,0.5,0.9946619272232056,0.6048064085447263,0.5741007194244604,0.6234375,0.532,Labelled Dataset- pre training equal label
Mon Jun  8 13:42:59 2020,Supervised_BILSTM,0.0001,64,20,NaN,NaN,0.9905450344085693,0.6488651535380507,0.6695979899497488,0.6330166270783848,0.7106666666666667,Labelled data- Equal label
Mon Jun  8 15:07:33 2020,Student,0.0001,64,20,0.99,0.5,0.9795373678207397,0.6241655540720962,0.5935018050541516,0.647244094488189,0.548,LabelledDataset- equal Label
Mon Jun  8 15:07:41 2020,Teacher,0.0001,64,20,0.99,0.5,0.9795373678207397,0.6201602136181575,0.5750560119492159,0.6536502546689303,0.5133333333333333,Labelled Dataset- pre training equal label
Mon Jun  8 15:22:02 2020,Supervised_BILSTM,0.0001,64,20,NaN,NaN,0.9938821196556091,0.6234979973297731,0.5954088952654233,0.6444099378881988,0.5533333333333333,Labelled data- Equal label
Mon Jun  8 21:32:34 2020,Supervised_BILSTM,0.0001,64,20,NaN,NaN,0.9988876581192017,0.6381842456608812,0.613960113960114,0.6590214067278287,0.5746666666666667,Labelled data- Equal label
Mon Jun  8 22:59:39 2020,Student,0.0001,64,22,0.99,0.5,0.9973309636116028,0.6048064085447263,0.5382215288611545,0.6484962406015038,0.46,LabelledDataset- equal Label
Mon Jun  8 22:59:47 2020,Teacher,0.0001,64,22,0.99,0.5,0.9973309636116028,0.609479305740988,0.5530939648586707,0.6475849731663685,0.4826666666666667,Labelled Dataset- pre training equal label
Mon Jun  8 23:13:25 2020,Supervised_BILSTM,0.0001,64,20,NaN,NaN,0.9610678553581238,0.6014686248331108,0.5189363416599516,0.6558044806517311,0.42933333333333334,Labelled data- Equal label
Tue Jun  9 00:39:44 2020,Student,0.0001,64,22,0.99,0.5,0.9830960631370544,0.6068090787716955,0.6357452071737787,0.5928489042675894,0.6853333333333333,LabelledDataset- equal Label
Tue Jun  9 00:39:52 2020,Teacher,0.0001,64,22,0.99,0.5,0.9830960631370544,0.6081441922563418,0.5845718329794762,0.6229260935143288,0.5506666666666666,Labelled Dataset- pre training equal label
Tue Jun  9 00:53:26 2020,Supervised_BILSTM,0.0001,64,20,NaN,NaN,0.9933258891105652,0.6475300400534045,0.6363636363636364,0.6581196581196581,0.616,Labelled data- Equal label
Tue Jun  9 02:21:06 2020,Student,0.0001,64,22,0.99,0.5,0.9977757930755615,0.6174899866488651,0.5668934240362812,0.6544502617801047,0.5,LabelledDataset- equal Label
Tue Jun  9 02:21:14 2020,Teacher,0.0001,64,22,0.99,0.5,0.9977757930755615,0.6128170894526035,0.56973293768546,0.6421404682274248,0.512,Labelled Dataset- pre training equal label
Tue Jun  9 02:34:55 2020,Supervised_BILSTM,0.0001,64,20,NaN,NaN,0.9888765215873718,0.644192256341789,0.6211798152096659,0.665144596651446,0.5826666666666667,Labelled data- Equal label
Tue Jun  9 04:32:43 2020,Supervised_BILSTM,0.0001,64,20,NaN,NaN,0.9955506324768066,0.6241655540720962,0.6213853396099529,0.6268656716417911,0.616,Labelled data- Equal label
Tue Jun  9 06:08:31 2020,Student,0.0001,64,24,0.99,0.5,0.9879893064498901,0.5787716955941254,0.4857375713121434,0.6247379454926625,0.3973333333333333,LabelledDataset- equal Label
Tue Jun  9 06:08:38 2020,Teacher,0.0001,64,24,0.99,0.5,0.9879893064498901,0.595460614152203,0.5943775100401606,0.5967741935483871,0.592,Labelled Dataset- pre training equal label
Tue Jun  9 06:22:28 2020,Supervised_BILSTM,0.0001,64,20,NaN,NaN,0.8403782248497009,0.5580774365821095,0.2741228070175439,0.7716049382716049,0.16666666666666666,Labelled data- Equal label
Tue Jun  9 07:58:06 2020,Student,0.0001,64,24,0.99,0.5,1.0,0.5907877169559412,0.5177025963808024,0.6314779270633397,0.43866666666666665,LabelledDataset- equal Label
Tue Jun  9 07:58:13 2020,Teacher,0.0001,64,24,0.99,0.5,1.0,0.5947930574098799,0.5348659003831417,0.6288288288288288,0.4653333333333333,Labelled Dataset- pre training equal label
Tue Jun  9 08:12:00 2020,Supervised_BILSTM,0.0001,64,20,NaN,NaN,0.9977753162384033,0.6255006675567423,0.6373626373626374,0.6185696361355082,0.6573333333333333,Labelled data- Equal label
Tue Jun  9 09:47:13 2020,Student,0.0001,64,24,0.99,0.5,0.996886134147644,0.6268357810413885,0.6109951287404314,0.6390101892285298,0.5853333333333334,LabelledDataset- equal Label
Tue Jun  9 09:47:21 2020,Teacher,0.0001,64,24,0.99,0.5,0.996886134147644,0.62283044058745,0.6012702893436838,0.638680659670165,0.568,Labelled Dataset- pre training equal label
