Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,F1_Score,Precision,Recall,comment
Tue Jun  9 07:07:16 2020,Supervised_BILSTM,0.0001,64,20,NaN,NaN,0.9972191452980042,0.6241655540720962,0.5851142225497421,0.6540362438220758,0.5293333333333333,Labelled data- Equal label
Tue Jun  9 08:28:18 2020,Student,0.0001,64,20,0.999,0.5,0.995551586151123,0.6101468624833111,0.5755813953488372,0.6325878594249201,0.528,LabelledDataset- equal Label-Rampdown 0.99-0.999
Tue Jun  9 08:28:26 2020,Teacher,0.0001,64,20,0.999,0.5,0.995551586151123,0.6081441922563418,0.5474171164225135,0.6489945155393053,0.47333333333333333,Labelled Dataset- pre training equal label-Rampdown 0.99-0.999
Tue Jun  9 08:42:13 2020,Supervised_BILSTM,0.0001,64,20,NaN,NaN,0.996662974357605,0.6174899866488651,0.5512920908379013,0.6679316888045541,0.4693333333333333,Labelled data- Equal label
Tue Jun  9 10:02:47 2020,Student,0.0001,64,20,0.999,0.5,0.9942170977592468,0.5994659546061415,0.5370370370370371,0.6373626373626373,0.464,LabelledDataset- equal Label-Rampdown 0.99-0.999
Tue Jun  9 10:02:55 2020,Teacher,0.0001,64,20,0.999,0.5,0.9942170977592468,0.6214953271028038,0.5675057208237987,0.6631016042780749,0.496,Labelled Dataset- pre training equal label-Rampdown 0.99-0.999
Tue Jun  9 10:16:39 2020,Supervised_BILSTM,0.0001,64,20,NaN,NaN,0.9972191452980042,0.6214953271028038,0.6124401913875599,0.6283309957924264,0.5973333333333334,Labelled data- Equal label
Tue Jun  9 11:37:33 2020,Student,0.0001,64,20,0.999,0.5,0.9973309636116028,0.6194926568758344,0.5875542691751086,0.6424050632911392,0.5413333333333333,LabelledDataset- equal Label-Rampdown 0.99-0.999
Tue Jun  9 11:37:41 2020,Teacher,0.0001,64,20,0.999,0.5,0.9973309636116028,0.6321762349799733,0.6670694864048339,0.6099447513812155,0.736,Labelled Dataset- pre training equal label-Rampdown 0.99-0.999
Tue Jun  9 12:01:52 2020,Supervised_BILSTM,0.0001,64,20,NaN,NaN,0.9938821196556091,0.6355140186915887,0.6364846870838882,0.6356382978723404,0.6373333333333333,Labelled data- Equal label
Tue Jun  9 13:31:36 2020,Student,0.0001,64,20,0.999,0.5,0.9977757930755615,0.5987983978638184,0.5603511338697879,0.6207455429497569,0.5106666666666667,LabelledDataset- equal Label-Rampdown 0.99-0.999
Tue Jun  9 13:31:43 2020,Teacher,0.0001,64,20,0.999,0.5,0.9977757930755615,0.6201602136181575,0.559938128383604,0.6666666666666666,0.4826666666666667,Labelled Dataset- pre training equal label-Rampdown 0.99-0.999
Tue Jun  9 13:46:01 2020,Supervised_BILSTM,0.0001,64,20,NaN,NaN,0.9922135472297668,0.6321762349799733,0.6197377501725327,0.642346208869814,0.5986666666666667,Labelled data- Equal label
Tue Jun  9 15:15:57 2020,Student,0.0001,64,20,0.999,0.5,0.9959964156150818,0.6201602136181575,0.597310686482661,0.6365007541478129,0.5626666666666666,LabelledDataset- equal Label-Rampdown 0.99-0.999
Tue Jun  9 15:16:04 2020,Teacher,0.0001,64,20,0.999,0.5,0.9959964156150818,0.6248331108144193,0.5423452768729642,0.696652719665272,0.444,Labelled Dataset- pre training equal label-Rampdown 0.99-0.999
Tue Jun  9 15:30:11 2020,Supervised_BILSTM,0.0001,64,20,NaN,NaN,0.9988876581192017,0.602803738317757,0.49789029535864976,0.6781609195402298,0.3933333333333333,Labelled data- Equal label
Tue Jun  9 16:58:06 2020,Student,0.0001,64,20,0.999,0.5,0.9991103410720825,0.5941255006675568,0.4492753623188406,0.7005649717514124,0.33066666666666666,LabelledDataset- equal Label-Rampdown 0.99-0.999
Tue Jun  9 16:58:13 2020,Teacher,0.0001,64,20,0.999,0.5,0.9991103410720825,0.62283044058745,0.5961401000714797,0.6425269645608629,0.556,Labelled Dataset- pre training equal label-Rampdown 0.99-0.999
