Date,Model,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,F1_Score,Precision,Recall,comment
Sun May 31 21:06:35 2020,Supervised_BILSTM,64,20,NaN,NaN,1.0,0.6562916851934193,0.7086317376554844,0.6978470675575352,0.7197549770290965,Labelled data
Sun May 31 22:29:29 2020,Student,64,20,0.99,0.5,1.0,0.6167185415740329,0.6356720202874048,0.7094339622641509,0.5758039816232772,LabelledDataset- Consist_cost btw noise target
Sun May 31 22:29:40 2020,Teacher,64,20,0.99,0.5,1.0,0.6073810582481103,0.629769392033543,0.696014828544949,0.5750382848392037,Labelled Dataset- Consist_cost btw noise target
Sun May 31 22:43:43 2020,Supervised_BILSTM,64,20,NaN,NaN,1.0,0.6149399733214762,0.6674347158218127,0.6694915254237288,0.6653905053598775,Labelled data
Mon Jun  1 00:08:42 2020,Student,64,20,0.99,0.5,1.0,0.64517563361494,0.6890101325019486,0.7015873015873015,0.6768759571209801,LabelledDataset- Consist_cost btw noise target
Mon Jun  1 00:08:53 2020,Teacher,64,20,0.99,0.5,1.0,0.6411738550466874,0.6715506715506715,0.7167680278019114,0.6316998468606432,Labelled Dataset- Consist_cost btw noise target
Mon Jun  1 00:22:55 2020,Supervised_BILSTM,64,20,NaN,NaN,1.0,0.6358381502890174,0.693373268438787,0.6783882783882784,0.7090352220520674,Labelled data
Mon Jun  1 01:46:17 2020,Student,64,20,0.99,0.5,1.0,0.6353935082258781,0.6666666666666666,0.7105719237435009,0.6278713629402757,LabelledDataset- Consist_cost btw noise target
Mon Jun  1 01:46:29 2020,Teacher,64,20,0.99,0.5,1.0,0.6340595820364606,0.6636697997548018,0.7116564417177914,0.6217457886676876,Labelled Dataset- Consist_cost btw noise target
Mon Jun  1 02:00:35 2020,Supervised_BILSTM,64,20,NaN,NaN,1.0,0.6385060026678524,0.6944757609921083,0.6819188191881919,0.7075038284839203,Labelled data
Mon Jun  1 03:23:33 2020,Student,64,20,0.99,0.5,1.0,0.655402401067141,0.686868686868687,0.7271171941830624,0.6508422664624809,LabelledDataset- Consist_cost btw noise target
Mon Jun  1 03:23:44 2020,Teacher,64,20,0.99,0.5,1.0,0.6540684748777235,0.6839967506092607,0.7283737024221453,0.6447166921898928,Labelled Dataset- Consist_cost btw noise target
Mon Jun  1 03:37:37 2020,Supervised_BILSTM,64,20,NaN,NaN,1.0,0.6540684748777235,0.7137601177336277,0.6869688385269122,0.7427258805513017,Labelled data
