Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,Classification_Loss,comment
Sun Aug  9 08:55:05 2020,Student,0.0001,32,15,0.99,0.5,0.9345335364341736,0.5417185554171855,0.518970189701897,0.8,0.9671717171717171,0.12776412776412777,0.6754850088183422,0.22033898305084748,0.728225588798523,Unlabelled Difference
Sun Aug  9 08:55:09 2020,Teacher,0.0001,32,15,0.99,0.5,0.9345335364341736,0.5354919053549191,0.5151915455746368,0.8695652173913043,0.9848484848484849,0.09828009828009827,0.6764960971379012,0.17660044150110374,0.7386713027954102,Unlabelled Difference
Sun Aug  9 10:14:33 2020,Student,0.0001,32,15,0.99,0.5,0.8183305859565735,0.5628891656288917,0.6018099547511312,0.5481099656357389,0.33585858585858586,0.7837837837837838,0.43111831442463533,0.6450960566228514,0.868419349193573,Unlabelled Difference
Sun Aug  9 10:14:37 2020,Teacher,0.0001,32,15,0.99,0.5,0.8183305859565735,0.5541718555417185,0.6233766233766234,0.5377503852080123,0.24242424242424243,0.8574938574938575,0.34909090909090906,0.6609848484848485,0.7709180116653442,Unlabelled Difference
Sun Aug  9 11:34:46 2020,Student,0.0001,32,15,0.99,0.5,0.9345335364341736,0.47322540473225405,0.4703296703296703,0.47701149425287354,0.5404040404040404,0.40786240786240785,0.5029377203290247,0.4397350993377483,0.7352665066719055,Unlabelled Difference
Sun Aug  9 11:34:50 2020,Teacher,0.0001,32,15,0.99,0.5,0.9345335364341736,0.5168119551681195,0.6111111111111112,0.5123859191655802,0.05555555555555555,0.9656019656019657,0.10185185185185183,0.6695059625212947,0.7227858304977417,Unlabelled Difference
Sun Aug  9 14:49:44 2020,Student,0.0001,32,25,0.99,0.5,0.9590834975242615,0.49937733499377335,0.540785498489426,0.4703389830508475,0.4172494172494173,0.5935828877005348,0.47105263157894744,0.5248226950354611,0.7924150228500366,Unlabelled Difference
Sun Aug  9 14:49:47 2020,Teacher,0.0001,32,25,0.99,0.5,0.9590834975242615,0.5317559153175592,0.5541922290388548,0.4968152866242038,0.6317016317016317,0.41711229946524064,0.5904139433551199,0.4534883720930233,0.7352504730224609,Unlabelled Difference
Sun Aug  9 15:55:42 2020,Student,0.0001,32,25,0.99,0.5,0.9705401062965393,0.6699875466998755,0.6707920792079208,0.6691729323308271,0.6724565756823822,0.6675,0.6716232961586122,0.6683354192740926,0.9830896258354187,Unlabelled Difference
Sun Aug  9 15:55:45 2020,Teacher,0.0001,32,25,0.99,0.5,0.9705401062965393,0.6699875466998755,0.7017543859649122,0.6464208242950108,0.5955334987593052,0.745,0.6442953020134229,0.6922183507549361,0.8505420088768005,Unlabelled Difference
Sun Aug  9 16:52:08 2020,Student,0.0001,32,25,0.99,0.5,0.9779050946235657,0.6861768368617683,0.6589473684210526,0.725609756097561,0.7766749379652605,0.595,0.7129840546697039,0.6538461538461539,0.8905178904533386,Unlabelled Difference
Sun Aug  9 16:52:12 2020,Teacher,0.0001,32,25,0.99,0.5,0.9779050946235657,0.6749688667496887,0.6414342629482072,0.7308970099667774,0.7990074441687345,0.55,0.7116022099447514,0.6276747503566333,0.8238690495491028,Unlabelled Difference
Sun Aug  9 18:12:25 2020,Student,0.0001,64,25,0.99,0.5,0.9042553305625916,0.6326276463262764,0.7065527065527065,0.5752212389380531,0.5636363636363636,0.7162534435261708,0.6270543615676359,0.638036809815951,0.6912552118301392,Unlabelled Difference
Sun Aug  9 18:12:29 2020,Teacher,0.0001,64,25,0.99,0.5,0.9042553305625916,0.6712328767123288,0.6904761904761905,0.6451612903225806,0.725,0.6060606060606061,0.7073170731707318,0.625,0.6047109961509705,Unlabelled Difference
Sun Aug  9 20:09:54 2020,Student,0.0001,64,30,0.99,0.5,0.957446813583374,0.6799501867995019,0.6838565022421524,0.6750700280112045,0.7244655581947743,0.6308900523560209,0.7035755478662054,0.6522327469553449,0.692048192024231,Unlabelled Difference
Sun Aug  9 20:09:59 2020,Teacher,0.0001,64,30,0.99,0.5,0.957446813583374,0.6749688667496887,0.7051282051282052,0.6464891041162227,0.6532066508313539,0.6989528795811518,0.6781750924784218,0.6716981132075471,0.616109311580658,Unlabelled Difference
Sun Aug  9 21:01:42 2020,Student,0.0001,64,30,0.99,0.5,0.9582651257514954,0.6749688667496887,0.7222222222222222,0.636568848758465,0.6175771971496437,0.7382198952879581,0.6658130601792573,0.6836363636363636,0.7804705500602722,Unlabelled Difference
Sun Aug  9 21:01:45 2020,Teacher,0.0001,64,30,0.99,0.5,0.9582651257514954,0.6575342465753424,0.7062146892655368,0.6191536748329621,0.5938242280285035,0.7277486910994765,0.6451612903225806,0.6690734055354994,0.6670882701873779,Unlabelled Difference
Sun Aug  9 21:54:34 2020,Student,0.0001,64,30,0.99,0.5,0.9828150868415833,0.6488169364881694,0.6925207756232687,0.6131221719457014,0.5938242280285035,0.7094240837696335,0.639386189258312,0.6577669902912622,0.9977844953536987,Unlabelled Difference
Sun Aug  9 21:54:37 2020,Teacher,0.0001,64,30,0.99,0.5,0.9828150868415833,0.6550435865504358,0.6935483870967742,0.6218097447795824,0.6128266033254157,0.7015706806282722,0.6506935687263556,0.6592865928659287,0.8227103352546692,Unlabelled Difference
Sun Aug  9 22:45:31 2020,Student,0.0001,64,30,0.99,0.5,0.9451718330383301,0.6824408468244084,0.754601226993865,0.6331236897274634,0.5843230403800475,0.7905759162303665,0.6586345381526104,0.7031431897555297,0.6436544060707092,Unlabelled Difference
Sun Aug  9 22:45:35 2020,Teacher,0.0001,64,30,0.99,0.5,0.9451718330383301,0.6824408468244084,0.7161458333333334,0.6515513126491647,0.6532066508313539,0.7146596858638743,0.6832298136645963,0.6816479400749063,0.5953905582427979,Unlabelled Difference
Sun Aug  9 23:37:05 2020,Student,0.0001,64,30,0.99,0.5,0.9599018096923828,0.6986301369863014,0.7086247086247086,0.6871657754010695,0.7220902612826603,0.6727748691099477,0.7152941176470589,0.6798941798941799,0.7005839347839355,Unlabelled Difference
Sun Aug  9 23:37:09 2020,Teacher,0.0001,64,30,0.99,0.5,0.9599018096923828,0.6712328767123288,0.7223796033994334,0.6311111111111111,0.6057007125890737,0.743455497382199,0.6589147286821705,0.6826923076923076,0.5875499248504639,Unlabelled Difference
