Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,Classification_Loss,comment
Tue Aug 25 03:57:50 2020,Student,0.0001,64,10,0.99,0.5,0.7599024772644043,0.7131147540983607,0.7265625,0.6982758620689655,0.7265625,0.6982758620689655,0.7265625,0.6982758620689655,0.644930899143219,Noise-using-synonym
Tue Aug 25 03:57:52 2020,Teacher,0.0001,64,10,0.99,0.5,0.7599024772644043,0.7049180327868853,0.6686746987951807,0.782051282051282,0.8671875,0.5258620689655172,0.7551020408163266,0.6288659793814433,0.6676493287086487,Noise-using-synonym
Tue Aug 25 04:01:30 2020,Student,0.0001,64,15,0.99,0.5,0.887263834476471,0.7295081967213115,0.7870370370370371,0.6838235294117647,0.6640625,0.8017241379310345,0.7203389830508474,0.738095238095238,0.7098997831344604,Noise-using-synonym
Tue Aug 25 04:01:30 2020,Teacher,0.0001,64,15,0.99,0.5,0.887263834476471,0.6762295081967213,0.6231155778894473,0.9111111111111111,0.96875,0.35344827586206895,0.7584097859327218,0.5093167701863354,0.5867998600006104,Noise-using-synonym
Tue Aug 25 04:05:09 2020,Student,0.0001,64,20,0.99,0.5,0.974405825138092,0.7295081967213115,0.7719298245614035,0.6923076923076923,0.6875,0.7758620689655172,0.7272727272727273,0.7317073170731708,0.9794583916664124,Noise-using-synonym
Tue Aug 25 04:05:09 2020,Teacher,0.0001,64,20,0.99,0.5,0.974405825138092,0.7418032786885246,0.751937984496124,0.7304347826086957,0.7578125,0.7241379310344828,0.754863813229572,0.7272727272727272,0.5805484056472778,Noise-using-synonym
Tue Aug 25 04:08:47 2020,Student,0.0001,64,25,0.99,0.5,0.9841560125350952,0.7131147540983607,0.7685185185185185,0.6691176470588235,0.6484375,0.7844827586206896,0.7033898305084746,0.7222222222222222,1.0911774635314941,Noise-using-synonym
Tue Aug 25 04:08:48 2020,Teacher,0.0001,64,25,0.99,0.5,0.9841560125350952,0.7336065573770492,0.7692307692307693,0.7007874015748031,0.703125,0.7672413793103449,0.7346938775510206,0.7325102880658436,0.8404074311256409,Noise-using-synonym
Tue Aug 25 04:12:30 2020,Student,0.0001,64,30,0.99,0.5,0.9835466146469116,0.7090163934426229,0.7209302325581395,0.6956521739130435,0.7265625,0.6896551724137931,0.7237354085603112,0.6926406926406926,1.1567305326461792,Noise-using-synonym
Tue Aug 25 04:12:30 2020,Teacher,0.0001,64,30,0.99,0.5,0.9835466146469116,0.7295081967213115,0.7627118644067796,0.6984126984126984,0.703125,0.7586206896551724,0.7317073170731708,0.7272727272727273,1.0612413883209229,Noise-using-synonym
Tue Aug 25 04:20:18 2020,Student,0.0001,64,10,0.99,0.5,0.8208409547805786,0.7131147540983607,0.734375,0.6896551724137931,0.7230769230769231,0.7017543859649122,0.7286821705426355,0.6956521739130435,0.6477370262145996,Noise-using-synonym
Tue Aug 25 04:20:19 2020,Teacher,0.0001,64,10,0.99,0.5,0.8208409547805786,0.7131147540983607,0.717391304347826,0.7075471698113207,0.7615384615384615,0.6578947368421053,0.7388059701492536,0.6818181818181818,0.6706785559654236,Noise-using-synonym
Tue Aug 25 04:24:03 2020,Student,0.0001,64,15,0.99,0.5,0.9079829454421997,0.7131147540983607,0.7054794520547946,0.7244897959183674,0.7923076923076923,0.6228070175438597,0.746376811594203,0.669811320754717,0.7822107672691345,Noise-using-synonym
Tue Aug 25 04:24:04 2020,Teacher,0.0001,64,15,0.99,0.5,0.9079829454421997,0.6926229508196722,0.7037037037037037,0.6788990825688074,0.7307692307692307,0.6491228070175439,0.7169811320754716,0.6636771300448431,0.6192018389701843,Noise-using-synonym
Tue Aug 25 04:27:49 2020,Student,0.0001,64,20,0.99,0.5,0.9597806334495544,0.680327868852459,0.7131147540983607,0.6475409836065574,0.6692307692307692,0.6929824561403509,0.6904761904761905,0.6694915254237288,1.0068261623382568,Noise-using-synonym
Tue Aug 25 04:27:50 2020,Teacher,0.0001,64,20,0.99,0.5,0.9597806334495544,0.7049180327868853,0.6933333333333334,0.723404255319149,0.8,0.5964912280701754,0.7428571428571429,0.6538461538461539,0.7159399390220642,Noise-using-synonym
Tue Aug 25 04:31:34 2020,Student,0.0001,64,25,0.99,0.5,0.9719682931900024,0.680327868852459,0.7407407407407407,0.6323529411764706,0.6153846153846154,0.7543859649122807,0.6722689075630253,0.688,1.0993000268936157,Noise-using-synonym
Tue Aug 25 04:31:35 2020,Teacher,0.0001,64,25,0.99,0.5,0.9719682931900024,0.6639344262295082,0.7,0.6290322580645161,0.6461538461538462,0.6842105263157895,0.6719999999999999,0.6554621848739496,0.972800076007843,Noise-using-synonym
Tue Aug 25 04:35:16 2020,Student,0.0001,64,30,0.99,0.5,0.9841560125350952,0.6557377049180327,0.6885245901639344,0.6229508196721312,0.6461538461538462,0.6666666666666666,0.6666666666666666,0.6440677966101694,1.2672710418701172,Noise-using-synonym
Tue Aug 25 04:35:16 2020,Teacher,0.0001,64,30,0.99,0.5,0.9841560125350952,0.6844262295081968,0.7304347826086957,0.6434108527131783,0.6461538461538462,0.7280701754385965,0.6857142857142857,0.6831275720164609,1.121462345123291,Noise-using-synonym
Tue Aug 25 04:43:05 2020,Student,0.0001,64,10,0.99,0.5,0.822059690952301,0.6762295081967213,0.6762589928057554,0.6761904761904762,0.734375,0.6120689655172413,0.7041198501872659,0.6425339366515838,0.6570706367492676,Noise-using-synonym
Tue Aug 25 04:43:05 2020,Teacher,0.0001,64,10,0.99,0.5,0.822059690952301,0.6557377049180327,0.7075471698113207,0.6159420289855072,0.5859375,0.7327586206896551,0.641025641025641,0.6692913385826771,0.6719650030136108,Noise-using-synonym
Tue Aug 25 04:46:50 2020,Student,0.0001,64,15,0.99,0.5,0.8921389579772949,0.6926229508196722,0.6586826347305389,0.7662337662337663,0.859375,0.5086206896551724,0.7457627118644067,0.61139896373057,0.6877387762069702,Noise-using-synonym
Tue Aug 25 04:46:51 2020,Teacher,0.0001,64,15,0.99,0.5,0.8921389579772949,0.6721311475409836,0.6621621621621622,0.6875,0.765625,0.5689655172413793,0.7101449275362318,0.6226415094339622,0.5876888036727905,Noise-using-synonym
Tue Aug 25 04:50:38 2020,Student,0.0001,64,20,0.99,0.5,0.9463741779327393,0.7172131147540983,0.7185185185185186,0.7155963302752294,0.7578125,0.6724137931034483,0.7376425855513308,0.6933333333333334,0.8459811806678772,Noise-using-synonym
Tue Aug 25 04:50:38 2020,Teacher,0.0001,64,20,0.99,0.5,0.9463741779327393,0.7008196721311475,0.6845637583892618,0.7263157894736842,0.796875,0.5948275862068966,0.7364620938628158,0.6540284360189573,0.6661771535873413,Noise-using-synonym
Tue Aug 25 04:54:26 2020,Student,0.0001,64,25,0.99,0.5,0.9634369015693665,0.6967213114754098,0.725,0.6693548387096774,0.6796875,0.7155172413793104,0.7016129032258064,0.6916666666666667,1.0553336143493652,Noise-using-synonym
Tue Aug 25 04:54:27 2020,Teacher,0.0001,64,25,0.99,0.5,0.9634369015693665,0.7336065573770492,0.7202797202797203,0.7524752475247525,0.8046875,0.6551724137931034,0.7601476014760147,0.7004608294930876,0.8272076845169067,Noise-using-synonym
Tue Aug 25 04:58:14 2020,Student,0.0001,64,30,0.99,0.5,0.9677026271820068,0.6967213114754098,0.7076923076923077,0.6842105263157895,0.71875,0.6724137931034483,0.7131782945736435,0.6782608695652174,1.13038170337677,Noise-using-synonym
Tue Aug 25 04:58:15 2020,Teacher,0.0001,64,30,0.99,0.5,0.9677026271820068,0.7049180327868853,0.71875,0.6896551724137931,0.71875,0.6896551724137931,0.71875,0.6896551724137931,1.0089900493621826,Noise-using-synonym
Tue Aug 25 05:06:06 2020,Student,0.0001,64,10,0.99,0.5,0.8477466702461243,0.6707818930041153,0.8529411764705882,0.6,0.453125,0.9130434782608695,0.5918367346938775,0.7241379310344828,0.7075446248054504,Noise-using-synonym
Tue Aug 25 05:06:07 2020,Teacher,0.0001,64,10,0.99,0.5,0.8477466702461243,0.654320987654321,0.7,0.6165413533834586,0.6015625,0.7130434782608696,0.6470588235294118,0.6612903225806451,0.6628525257110596,Noise-using-synonym
Tue Aug 25 05:09:49 2020,Student,0.0001,64,15,0.99,0.5,0.9183921813964844,0.7078189300411523,0.6792452830188679,0.7619047619047619,0.84375,0.5565217391304348,0.7526132404181185,0.6432160804020102,0.603703498840332,Noise-using-synonym
Tue Aug 25 05:09:50 2020,Teacher,0.0001,64,15,0.99,0.5,0.9183921813964844,0.6995884773662552,0.6708074534161491,0.7560975609756098,0.84375,0.5391304347826087,0.7474048442906576,0.6294416243654822,0.5530893206596375,Noise-using-synonym
Tue Aug 25 05:13:30 2020,Student,0.0001,64,20,0.99,0.5,0.9336175322532654,0.7078189300411523,0.7567567567567568,0.6666666666666666,0.65625,0.7652173913043478,0.7029288702928871,0.7125506072874495,0.6692360043525696,Noise-using-synonym
Tue Aug 25 05:13:31 2020,Teacher,0.0001,64,20,0.99,0.5,0.9336175322532654,0.7242798353909465,0.7074829931972789,0.75,0.8125,0.6260869565217392,0.7563636363636363,0.6824644549763035,0.5827663540840149,Noise-using-synonym
Tue Aug 25 05:17:12 2020,Student,0.0001,64,25,0.99,0.5,0.9500609040260315,0.7078189300411523,0.7175572519083969,0.6964285714285714,0.734375,0.6782608695652174,0.7258687258687258,0.6872246696035242,0.6774312257766724,Noise-using-synonym
Tue Aug 25 05:17:12 2020,Teacher,0.0001,64,25,0.99,0.5,0.9500609040260315,0.6995884773662552,0.706766917293233,0.6909090909090909,0.734375,0.6608695652173913,0.7203065134099617,0.6755555555555555,0.6981834173202515,Noise-using-synonym
Tue Aug 25 05:20:52 2020,Student,0.0001,64,30,0.99,0.5,0.9744214415550232,0.6954732510288066,0.7368421052631579,0.6589147286821705,0.65625,0.7391304347826086,0.6942148760330578,0.6967213114754097,1.053376317024231,Noise-using-synonym
