Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,Classification_Loss,comment
Thu Aug 13 20:21:57 2020,Student,0.0001,64,30,0.99,0.5,0.9582651257514954,0.6787048567870486,0.7067039106145251,0.6561797752808989,0.6231527093596059,0.7355163727959698,0.6623036649214659,0.6935866983372923,0.6470439434051514,Unlabelled Difference
Thu Aug 13 20:22:01 2020,Teacher,0.0001,64,30,0.99,0.5,0.9582651257514954,0.6774595267745953,0.6970509383378016,0.6604651162790698,0.6403940886699507,0.7153652392947103,0.6675224646983312,0.686819830713422,0.580319881439209,Unlabelled Difference
Thu Aug 13 22:36:22 2020,Student,0.0001,64,30,0.99,0.5,0.9746317267417908,0.660024906600249,0.75,0.6139359698681732,0.49877750611246946,0.8274111675126904,0.5991189427312775,0.7048648648648649,0.9590161442756653,Unlabelled Difference
Thu Aug 13 22:36:26 2020,Teacher,0.0001,64,30,0.99,0.5,0.9746317267417908,0.6836861768368617,0.7355623100303952,0.6476793248945147,0.5916870415647921,0.7791878172588832,0.6558265582655827,0.7073732718894008,0.7272396087646484,Unlabelled Difference
Thu Aug 13 23:27:46 2020,Student,0.0001,64,30,0.99,0.5,0.950900137424469,0.663760896637609,0.6294820717131474,0.7209302325581395,0.79,0.5384615384615384,0.7006651884700665,0.6164772727272727,0.8647761940956116,Unlabelled Difference
Thu Aug 13 23:27:50 2020,Teacher,0.0001,64,30,0.99,0.5,0.950900137424469,0.6699875466998755,0.6403326403326404,0.7142857142857143,0.77,0.5707196029776674,0.6992054483541431,0.6344827586206896,0.6401105523109436,Unlabelled Difference
Fri Aug 14 00:20:02 2020,Student,0.0001,64,30,0.99,0.5,0.9631751179695129,0.6338729763387297,0.7527272727272727,0.571969696969697,0.4780600461893764,0.8162162162162162,0.5847457627118644,0.6726057906458798,0.9584574699401855,Unlabelled Difference
Fri Aug 14 00:20:06 2020,Teacher,0.0001,64,30,0.99,0.5,0.9631751179695129,0.638854296388543,0.7227414330218068,0.58298755186722,0.535796766743649,0.7594594594594595,0.6153846153846153,0.6596244131455399,0.8085976839065552,Unlabelled Difference
Fri Aug 14 01:11:23 2020,Student,0.0001,64,30,0.99,0.5,0.9779050946235657,0.6737235367372354,0.6748166259168704,0.6725888324873096,0.6814814814814815,0.6658291457286433,0.6781326781326782,0.6691919191919192,0.7723476886749268,Unlabelled Difference
Fri Aug 14 01:11:27 2020,Teacher,0.0001,64,30,0.99,0.5,0.9779050946235657,0.6774595267745953,0.6666666666666666,0.6904109589041096,0.7209876543209877,0.6331658291457286,0.6927639383155397,0.6605504587155963,0.6685299873352051,Unlabelled Difference
