Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,Classification_Loss,comment
Thu Aug 20 17:24:51 2020,Student,0.0001,64,10,0.99,0.5,0.7757773995399475,0.6301369863013698,0.7125748502994012,0.5714285714285714,0.5421412300683371,0.7362637362637363,0.6157826649417852,0.6434573829531812,0.6568034291267395,Noise-using-synonym
Thu Aug 20 17:24:53 2020,Teacher,0.0001,64,10,0.99,0.5,0.7757773995399475,0.5217932752179327,0.7037037037037037,0.48502994011976047,0.2164009111617312,0.8901098901098901,0.3310104529616725,0.627906976744186,0.6879693269729614,Noise-using-synonym
Thu Aug 20 17:27:51 2020,Student,0.0001,64,15,0.99,0.5,0.8101472854614258,0.6114570361145704,0.812807881773399,0.5433333333333333,0.37585421412300685,0.8956043956043956,0.5140186915887851,0.6763485477178424,0.8092671036720276,Noise-using-synonym
Thu Aug 20 17:27:52 2020,Teacher,0.0001,64,15,0.99,0.5,0.8101472854614258,0.6475716064757161,0.6585365853658537,0.6302250803858521,0.7380410022779044,0.5384615384615384,0.6960257787325457,0.5807407407407408,0.6604822278022766,Noise-using-synonym
Thu Aug 20 17:30:41 2020,Student,0.0001,64,20,0.99,0.5,0.865793764591217,0.6014943960149439,0.8695652173913043,0.5342679127725857,0.31890660592255127,0.9423076923076923,0.4666666666666667,0.6819085487077535,1.3046016693115234,Noise-using-synonym
Thu Aug 20 17:30:42 2020,Teacher,0.0001,64,20,0.99,0.5,0.865793764591217,0.6811955168119551,0.658578856152513,0.7389380530973452,0.8656036446469249,0.45879120879120877,0.7480314960629921,0.5661016949152542,0.5998683571815491,Noise-using-synonym
Thu Aug 20 17:33:29 2020,Student,0.0001,64,25,0.99,0.5,0.9386252164840698,0.676214196762142,0.7265822784810126,0.6274509803921569,0.6537585421412301,0.7032967032967034,0.6882494004796164,0.6632124352331606,0.8543899655342102,Noise-using-synonym
Thu Aug 20 17:33:30 2020,Teacher,0.0001,64,25,0.99,0.5,0.9386252164840698,0.7160647571606475,0.7040618955512572,0.7377622377622378,0.8291571753986332,0.5796703296703297,0.7615062761506277,0.6492307692307693,0.6463576555252075,Noise-using-synonym
Thu Aug 20 17:36:18 2020,Student,0.0001,64,30,0.99,0.5,0.957446813583374,0.6874221668742216,0.7126696832579186,0.6565096952908587,0.7175398633257403,0.6510989010989011,0.7150964812712826,0.6537931034482758,0.8530155420303345,Noise-using-synonym
Thu Aug 20 17:36:19 2020,Teacher,0.0001,64,30,0.99,0.5,0.957446813583374,0.6986301369863014,0.7064989517819706,0.6871165644171779,0.7676537585421412,0.6153846153846154,0.7358078602620087,0.6492753623188406,0.7209497690200806,Noise-using-synonym
Thu Aug 20 17:42:08 2020,Student,0.0001,64,10,0.99,0.5,0.8216039538383484,0.6338729763387297,0.7399103139013453,0.593103448275862,0.4114713216957606,0.8557213930348259,0.5288461538461539,0.70061099796334,0.6241025924682617,Noise-using-synonym
Thu Aug 20 17:42:10 2020,Teacher,0.0001,64,10,0.99,0.5,0.8216039538383484,0.5666251556662516,0.5446880269814502,0.6285714285714286,0.8054862842892768,0.3283582089552239,0.6498993963782697,0.4313725490196078,0.6880929470062256,Noise-using-synonym
Thu Aug 20 17:44:57 2020,Student,0.0001,64,15,0.99,0.5,0.8453355431556702,0.6376089663760897,0.7037037037037037,0.6041275797373359,0.47381546134663344,0.8009950248756219,0.5663189269746647,0.6887700534759358,0.7632381916046143,Noise-using-synonym
Thu Aug 20 17:44:58 2020,Teacher,0.0001,64,15,0.99,0.5,0.8453355431556702,0.6301369863013698,0.58125,0.8220858895705522,0.9276807980049875,0.3333333333333333,0.7146974063400577,0.4743362831858407,0.6546530723571777,Noise-using-synonym
Thu Aug 20 17:47:44 2020,Student,0.0001,64,20,0.99,0.5,0.9549918174743652,0.6587795765877957,0.673972602739726,0.6461187214611872,0.6134663341645885,0.7039800995024875,0.6422976501305483,0.6738095238095237,0.9542533755302429,Noise-using-synonym
Thu Aug 20 17:47:46 2020,Teacher,0.0001,64,20,0.99,0.5,0.9549918174743652,0.6400996264009963,0.5888888888888889,0.8265895953757225,0.9251870324189526,0.35572139303482586,0.7196896217264792,0.49739130434782614,0.6337730884552002,Noise-using-synonym
Thu Aug 20 17:50:34 2020,Student,0.0001,64,25,0.99,0.5,0.9893617033958435,0.6425902864259029,0.6492146596858639,0.6365795724465558,0.6184538653366584,0.6666666666666666,0.6334610472541508,0.6512758201701093,1.2244594097137451,Noise-using-synonym
Thu Aug 20 17:50:35 2020,Teacher,0.0001,64,25,0.99,0.5,0.9893617033958435,0.6550435865504358,0.6462264150943396,0.6649076517150396,0.683291770573566,0.6268656716417911,0.6642424242424242,0.6453265044814341,0.7680221199989319,Noise-using-synonym
Thu Aug 20 17:53:22 2020,Student,0.0001,64,30,0.99,0.5,0.9926350116729736,0.6475716064757161,0.6460396039603961,0.6491228070175439,0.6508728179551122,0.6442786069651741,0.6484472049689441,0.6466916354556803,1.4026204347610474,Noise-using-synonym
Thu Aug 20 17:53:24 2020,Teacher,0.0001,64,30,0.99,0.5,0.9926350116729736,0.6562889165628891,0.6582278481012658,0.6544117647058824,0.6483790523690773,0.664179104477612,0.6532663316582914,0.6592592592592592,1.050567626953125,Noise-using-synonym
Thu Aug 20 17:59:17 2020,Student,0.0001,64,10,0.99,0.5,0.7978723645210266,0.6749688667496887,0.6832151300236406,0.6657894736842105,0.6947115384615384,0.6537467700258398,0.6889153754469606,0.6597131681877445,0.6167945861816406,Noise-using-synonym
Thu Aug 20 17:59:19 2020,Teacher,0.0001,64,10,0.99,0.5,0.7978723645210266,0.6189290161892902,0.6923076923076923,0.5783365570599613,0.47596153846153844,0.772609819121447,0.564102564102564,0.6615044247787611,0.6854159235954285,Noise-using-synonym
Thu Aug 20 18:02:08 2020,Student,0.0001,64,15,0.99,0.5,0.9165302515029907,0.6450809464508095,0.6563245823389021,0.6328125,0.6610576923076923,0.627906976744186,0.6586826347305389,0.6303501945525293,0.8772738575935364,Noise-using-synonym
Thu Aug 20 18:02:09 2020,Teacher,0.0001,64,15,0.99,0.5,0.9165302515029907,0.6836861768368617,0.6760869565217391,0.6938775510204082,0.7475961538461539,0.6149870801033591,0.7100456621004565,0.6520547945205479,0.6353079676628113,Noise-using-synonym
Thu Aug 20 18:04:58 2020,Student,0.0001,64,20,0.99,0.5,0.957446813583374,0.6525529265255293,0.6424116424116424,0.6677018633540373,0.7427884615384616,0.5555555555555556,0.6889632107023412,0.6064880112834979,1.0726875066757202,Noise-using-synonym
Thu Aug 20 18:04:59 2020,Teacher,0.0001,64,20,0.99,0.5,0.957446813583374,0.6625155666251556,0.638623326959847,0.7071428571428572,0.8028846153846154,0.5116279069767442,0.711395101171459,0.5937031484257871,0.5716918110847473,Noise-using-synonym
