Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,Classification_Loss,comment
Thu Aug 20 06:22:16 2020,Student,0.0001,64,10,0.99,0.5,0.7798690795898438,0.5828144458281445,0.6845878136200717,0.5286259541984732,0.4360730593607306,0.7589041095890411,0.5327754532775453,0.6231721034870641,0.703110933303833,Noise-using-synonym
Thu Aug 20 06:22:22 2020,Teacher,0.0001,64,10,0.99,0.5,0.7798690795898438,0.4806973848069738,0.8620689655172413,0.4664082687338501,0.05707762557077625,0.989041095890411,0.1070663811563169,0.6338893766461808,0.6892998814582825,Noise-using-synonym
Thu Aug 20 06:30:46 2020,Student,0.0001,64,15,0.99,0.5,0.7373158931732178,0.5454545454545454,0.5454545454545454,0.0,1.0,0.0,0.7058823529411764,0.0,0.6545581221580505,Noise-using-synonym
Thu Aug 20 06:30:49 2020,Teacher,0.0001,64,15,0.99,0.5,0.7373158931732178,0.5828144458281445,0.8366013071895425,0.5230769230769231,0.2922374429223744,0.9315068493150684,0.4331641285956006,0.6699507389162561,0.650985598564148,Noise-using-synonym
Thu Aug 20 06:39:13 2020,Student,0.0001,64,20,0.99,0.5,0.8707037568092346,0.5828144458281445,0.7019607843137254,0.5273722627737226,0.408675799086758,0.7917808219178082,0.5165945165945166,0.6330777656078861,0.6948208808898926,Noise-using-synonym
Thu Aug 20 06:39:17 2020,Teacher,0.0001,64,20,0.99,0.5,0.8707037568092346,0.638854296388543,0.6101190476190477,0.7862595419847328,0.9360730593607306,0.2821917808219178,0.7387387387387387,0.4153225806451613,0.6299488544464111,Noise-using-synonym
Thu Aug 20 06:47:40 2020,Student,0.0001,64,25,0.99,0.5,0.7667757868766785,0.5915317559153176,0.7272727272727273,0.5329768270944741,0.4018264840182648,0.8191780821917808,0.5176470588235293,0.6457883369330454,0.6838468313217163,Noise-using-synonym
Thu Aug 20 06:47:44 2020,Teacher,0.0001,64,25,0.99,0.5,0.7667757868766785,0.6537982565379825,0.6374570446735395,0.6968325791855203,0.8470319634703196,0.42191780821917807,0.7274509803921568,0.5255972696245733,0.6274726986885071,Noise-using-synonym
Thu Aug 20 06:56:06 2020,Student,0.0001,64,30,0.99,0.5,0.8936170339584351,0.5865504358655044,0.6709677419354839,0.5334685598377282,0.4748858447488584,0.7205479452054795,0.5561497326203209,0.6130536130536131,0.7745141386985779,Noise-using-synonym
Thu Aug 20 06:56:10 2020,Teacher,0.0001,64,30,0.99,0.5,0.8936170339584351,0.6276463262764632,0.6590389016018307,0.5901639344262295,0.6575342465753424,0.5917808219178082,0.6582857142857143,0.5909712722298222,0.6700468063354492,Noise-using-synonym
