Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,Classification_Loss,comment
Thu Jul 30 20:02:20 2020,Supervised_BILSTM,0.0001,64,10,NaN,NaN,0.8453355431556702,0.6488169364881694,0.6955445544554455,0.6015037593984962,0.6386363636363637,0.6611570247933884,0.6658767772511849,0.6299212598425197,0.5908781290054321,changed stemming while preprocessing
Thu Jul 30 20:54:30 2020,Student,0.0001,64,10,0.6,0.5,0.8521472215652466,0.6438356164383562,0.6078431372549019,0.9325842696629213,0.9863636363636363,0.22865013774104684,0.752166377816291,0.36725663716814155,0.6158210635185242,Noise-using-synonym
Thu Jul 30 20:54:38 2020,Teacher,0.0001,64,10,0.6,0.5,0.8521472215652466,0.6674968866749689,0.6251808972503617,0.9285714285714286,0.9818181818181818,0.2865013774104683,0.7639257294429708,0.4378947368421052,0.6005411148071289,Noise-using-synonym
Thu Jul 30 21:18:27 2020,Supervised_BILSTM,0.0001,64,10,NaN,NaN,0.8543371558189392,0.6699875466998755,0.6696230598669624,0.6704545454545454,0.722488038277512,0.612987012987013,0.6950517836593787,0.6404341926729986,0.604702889919281,changed stemming while preprocessing
Thu Jul 30 22:11:18 2020,Student,0.0001,64,10,0.6,0.5,0.7631902098655701,0.5367372353673724,0.7875,0.5089903181189488,0.1507177033492823,0.9558441558441558,0.2530120481927711,0.6642599277978339,0.7288443446159363,Noise-using-synonym
Thu Jul 30 22:11:30 2020,Teacher,0.0001,64,10,0.6,0.5,0.7631902098655701,0.5367372353673724,0.7875,0.5089903181189488,0.1507177033492823,0.9558441558441558,0.2530120481927711,0.6642599277978339,0.7360208034515381,Noise-using-synonym
Thu Jul 30 22:16:26 2020,Supervised_BILSTM,0.0001,64,10,NaN,NaN,0.8224222660064697,0.6164383561643836,0.6896551724137931,0.5750487329434698,0.4784688995215311,0.7662337662337663,0.5649717514124293,0.6570155902004454,0.651132345199585,changed stemming while preprocessing
Thu Jul 30 23:08:56 2020,Student,0.0001,64,10,0.6,0.5,0.8478527665138245,0.5056039850560399,0.5408560311284046,0.489010989010989,0.33253588516746413,0.6935064935064935,0.41185185185185186,0.5735767991407089,0.6512424349784851,Noise-using-synonym
Thu Jul 30 23:09:04 2020,Teacher,0.0001,64,10,0.6,0.5,0.8478527665138245,0.5080946450809465,0.5827338129496403,0.4924698795180723,0.1937799043062201,0.8493506493506493,0.2908438061041293,0.6234509056244042,0.6503350138664246,Noise-using-synonym
Thu Jul 30 23:14:00 2020,Supervised_BILSTM,0.0001,64,10,NaN,NaN,0.7119476199150085,0.6475716064757161,0.6374745417515275,0.6634615384615384,0.7488038277511961,0.5376623376623376,0.6886688668866887,0.593974175035868,0.6153209805488586,changed stemming while preprocessing
Fri Jul 31 00:04:16 2020,Student,0.0001,64,10,0.6,0.5,0.8030675053596497,0.589041095890411,0.5602739726027397,0.8767123287671232,0.9784688995215312,0.16623376623376623,0.7125435540069687,0.2794759825327511,0.6518265604972839,Noise-using-synonym
Fri Jul 31 00:04:23 2020,Teacher,0.0001,64,10,0.6,0.5,0.8030675053596497,0.589041095890411,0.5602739726027397,0.8767123287671232,0.9784688995215312,0.16623376623376623,0.7125435540069687,0.2794759825327511,0.6523514986038208,Noise-using-synonym
Fri Jul 31 00:09:10 2020,Supervised_BILSTM,0.0001,64,10,NaN,NaN,0.6546644568443298,0.6164383561643836,0.7644230769230769,0.5647058823529412,0.3803827751196172,0.8727272727272727,0.5079872204472844,0.6857142857142856,0.6464673280715942,changed stemming while preprocessing
Fri Jul 31 00:59:31 2020,Student,0.0001,64,10,0.6,0.5,0.7877300381660461,0.5965130759651308,0.9122807017543859,0.5442670537010159,0.24880382775119617,0.974025974025974,0.39097744360902253,0.6983240223463687,0.6358065009117126,Noise-using-synonym
Fri Jul 31 00:59:38 2020,Teacher,0.0001,64,10,0.6,0.5,0.7877300381660461,0.597758405977584,0.8991596638655462,0.5453216374269005,0.25598086124401914,0.9688311688311688,0.39851024208566105,0.697848456501403,0.6344456672668457,Noise-using-synonym
Fri Jul 31 01:04:35 2020,Supervised_BILSTM,0.0001,64,10,NaN,NaN,0.7741407752037048,0.6550435865504358,0.6196943972835314,0.7523364485981309,0.8732057416267942,0.41818181818181815,0.7249255213505461,0.5375626043405676,0.6264639496803284,changed stemming while preprocessing
Fri Jul 31 01:54:41 2020,Student,0.0001,64,10,0.6,0.5,0.8539877533912659,0.5828144458281445,0.5560053981106613,0.9032258064516129,0.9856459330143541,0.14545454545454545,0.7109577221742882,0.2505592841163311,0.723855197429657,Noise-using-synonym
Fri Jul 31 01:54:52 2020,Teacher,0.0001,64,10,0.6,0.5,0.8539877533912659,0.5790784557907845,0.553763440860215,0.8983050847457628,0.9856459330143541,0.13766233766233765,0.7091222030981067,0.23873873873873874,0.7455693483352661,Noise-using-synonym
Fri Jul 31 01:59:36 2020,Supervised_BILSTM,0.0001,64,10,NaN,NaN,0.8396071791648865,0.6463262764632628,0.662621359223301,0.629156010230179,0.65311004784689,0.638961038961039,0.6578313253012049,0.634020618556701,0.5841999053955078,changed stemming while preprocessing
Fri Jul 31 05:44:59 2020,Supervised_BILSTM,0.0001,64,10,NaN,NaN,0.8518821597099304,0.676214196762142,0.6529850746268657,0.7228464419475655,0.8254716981132075,0.5092348284960422,0.7291666666666666,0.5975232198142415,0.589275062084198,changed stemming while preprocessing
Fri Jul 31 06:35:39 2020,Student,0.0001,64,10,0.5,0.5,0.8447852730751038,0.6276463262764632,0.5869262865090403,0.9761904761904762,0.9952830188679245,0.21635883905013192,0.7384076990376203,0.3542116630669546,0.6192285418510437,Noise-using-synonym
Fri Jul 31 06:35:47 2020,Teacher,0.0001,64,10,0.5,0.5,0.8447852730751038,0.6326276463262764,0.5902097902097903,0.9772727272727273,0.9952830188679245,0.22691292875989447,0.7410008779631255,0.3683083511777302,0.6165134906768799,Noise-using-synonym
Fri Jul 31 06:40:44 2020,Supervised_BILSTM,0.0001,64,10,NaN,NaN,0.8919803500175476,0.6562889165628891,0.6141975308641975,0.832258064516129,0.9386792452830188,0.3403693931398417,0.7425373134328359,0.48314606741573035,0.6017920970916748,changed stemming while preprocessing
Fri Jul 31 07:34:08 2020,Student,0.0001,64,10,0.5,0.5,0.8282208442687988,0.6699875466998755,0.62402496099844,0.8518518518518519,0.9433962264150944,0.3641160949868074,0.7511737089201879,0.5101663585951941,0.6691165566444397,Noise-using-synonym
Fri Jul 31 07:34:16 2020,Teacher,0.0001,64,10,0.5,0.5,0.8282208442687988,0.6699875466998755,0.6259904912836767,0.8313953488372093,0.9316037735849056,0.37730870712401055,0.7488151658767772,0.5190562613430127,0.6843160390853882,Noise-using-synonym
Fri Jul 31 07:39:19 2020,Supervised_BILSTM,0.0001,64,10,NaN,NaN,0.8469721674919128,0.6650062266500623,0.649325626204239,0.6936619718309859,0.7948113207547169,0.5197889182058048,0.7147401908801696,0.5942684766214178,0.5870547294616699,changed stemming while preprocessing
Fri Jul 31 07:45:50 2020,Supervised_BILSTM,0.0001,64,10,NaN,NaN,0.8829787373542786,0.6376089663760897,0.5914454277286135,0.888,0.9662650602409638,0.2860824742268041,0.7337602927721866,0.4327485380116959,0.6194862723350525,changed stemming while preprocessing
Fri Jul 31 08:52:31 2020,Student,0.0001,64,12,0.5,0.5,0.8631901741027832,0.5790784557907845,0.5522388059701493,0.8787878787878788,0.980722891566265,0.14948453608247422,0.7065972222222223,0.2555066079295154,0.7669970393180847,Noise-using-synonym
Fri Jul 31 08:52:39 2020,Teacher,0.0001,64,12,0.5,0.5,0.8631901741027832,0.5840597758405978,0.5546558704453441,0.9354838709677419,0.9903614457831326,0.14948453608247422,0.7110726643598616,0.2577777777777778,0.7449595928192139,Noise-using-synonym
Fri Jul 31 08:57:43 2020,Supervised_BILSTM,0.0001,64,10,NaN,NaN,0.8756137490272522,0.6737235367372354,0.6339754816112084,0.771551724137931,0.8722891566265061,0.46134020618556704,0.7342799188640974,0.5774193548387097,0.5656782388687134,changed stemming while preprocessing
Fri Jul 31 10:03:09 2020,Student,0.0001,64,12,0.5,0.5,0.8484662771224976,0.6077210460772104,0.5696378830083565,0.9294117647058824,0.9855421686746988,0.2036082474226804,0.7219770520741394,0.33403805496828753,0.6325196623802185,Noise-using-synonym
Fri Jul 31 10:03:16 2020,Teacher,0.0001,64,12,0.5,0.5,0.8484662771224976,0.6164383561643836,0.5752461322081576,0.9347826086956522,0.9855421686746988,0.22164948453608246,0.7264653641207816,0.35833333333333334,0.6251698136329651,Noise-using-synonym
Fri Jul 31 10:08:19 2020,Supervised_BILSTM,0.0001,64,10,NaN,NaN,0.8240588903427124,0.6089663760896638,0.8389261744966443,0.5565749235474006,0.30120481927710846,0.9381443298969072,0.4432624113475178,0.6986564299424185,0.6147356033325195,changed stemming while preprocessing
Fri Jul 31 11:19:01 2020,Student,0.0001,64,12,0.5,0.5,0.8472392559051514,0.6313823163138231,0.5922480620155038,0.7911392405063291,0.9204819277108434,0.32216494845360827,0.720754716981132,0.4578754578754579,0.7680379748344421,Noise-using-synonym
Fri Jul 31 11:19:09 2020,Teacher,0.0001,64,12,0.5,0.5,0.8472392559051514,0.6301369863013698,0.5916149068322981,0.7861635220125787,0.9180722891566265,0.32216494845360827,0.7195467422096318,0.45703839122486295,0.7744686603546143,Noise-using-synonym
Fri Jul 31 11:24:40 2020,Supervised_BILSTM,0.0001,64,10,NaN,NaN,0.7274959087371826,0.6562889165628891,0.6061068702290077,0.8783783783783784,0.9566265060240964,0.33505154639175255,0.7420560747663552,0.4850746268656716,0.583070695400238,changed stemming while preprocessing
Fri Jul 31 12:33:46 2020,Student,0.0001,64,12,0.5,0.5,0.8546012043952942,0.663760896637609,0.6447105788423154,0.695364238410596,0.7783132530120482,0.5412371134020618,0.7052401746724891,0.608695652173913,0.9030905961990356,Noise-using-synonym
Fri Jul 31 12:33:54 2020,Teacher,0.0001,64,12,0.5,0.5,0.8546012043952942,0.663760896637609,0.6458752515090543,0.6928104575163399,0.7734939759036145,0.5463917525773195,0.7039473684210527,0.610951008645533,0.9051960110664368,Noise-using-synonym
Fri Jul 31 12:39:28 2020,Supervised_BILSTM,0.0001,64,10,NaN,NaN,0.8330605626106262,0.6525529265255293,0.6118421052631579,0.7794871794871795,0.8963855421686747,0.3917525773195876,0.7272727272727272,0.5214408233276158,0.5989820957183838,changed stemming while preprocessing
Fri Jul 31 13:49:24 2020,Student,0.0001,64,12,0.5,0.5,0.8638036847114563,0.6089663760896638,0.5702364394993046,0.9404761904761905,0.9879518072289156,0.2036082474226804,0.7231040564373897,0.3347457627118644,0.7983146905899048,Noise-using-synonym
Fri Jul 31 13:49:32 2020,Teacher,0.0001,64,12,0.5,0.5,0.8638036847114563,0.6127023661270237,0.5726256983240223,0.9425287356321839,0.9879518072289156,0.211340206185567,0.7250221043324491,0.3452631578947369,0.7925606369972229,Noise-using-synonym
Fri Jul 31 13:55:10 2020,Supervised_BILSTM,0.0001,64,10,NaN,NaN,0.7659574747085571,0.6463262764632628,0.600924499229584,0.8376623376623377,0.9397590361445783,0.3324742268041237,0.7330827067669172,0.4760147601476014,0.606573760509491,changed stemming while preprocessing
Fri Jul 31 15:04:30 2020,Student,0.0001,64,12,0.5,0.5,0.8723926544189453,0.6475716064757161,0.6003039513677811,0.8620689655172413,0.9518072289156626,0.32216494845360827,0.7362534948741846,0.4690431519699813,0.5866501331329346,Noise-using-synonym
Fri Jul 31 15:04:38 2020,Teacher,0.0001,64,12,0.5,0.5,0.8723926544189453,0.6463262764632628,0.5993930197268589,0.8611111111111112,0.9518072289156626,0.31958762886597936,0.7355679702048418,0.4661654135338346,0.5890634655952454,Noise-using-synonym
Fri Jul 31 15:10:09 2020,Supervised_BILSTM,0.0001,64,10,NaN,NaN,0.8854337334632874,0.6799501867995019,0.6889952153110048,0.6701298701298701,0.6939759036144578,0.6649484536082474,0.6914765906362544,0.6675291073738681,0.5702927708625793,changed stemming while preprocessing
Fri Jul 31 16:19:10 2020,Student,0.0001,64,12,0.5,0.5,0.8895705342292786,0.5080946450809465,0.6282051282051282,0.49517241379310345,0.1180722891566265,0.9252577319587629,0.19878296146044624,0.6451033243486074,0.6612482666969299,Noise-using-synonym
Fri Jul 31 16:19:18 2020,Teacher,0.0001,64,12,0.5,0.5,0.8895705342292786,0.523038605230386,0.7051282051282052,0.503448275862069,0.13253012048192772,0.9407216494845361,0.22312373225152132,0.6558849955076369,0.6615366339683533,Noise-using-synonym
Fri Jul 31 16:24:46 2020,Supervised_BILSTM,0.0001,64,10,NaN,NaN,0.8510638475418091,0.6612702366127023,0.6462167689161554,0.6847133757961783,0.7614457831325301,0.5541237113402062,0.6991150442477875,0.6125356125356125,0.5797401666641235,changed stemming while preprocessing
Fri Jul 31 17:33:23 2020,Student,0.0001,64,12,0.5,0.5,0.875460147857666,0.6176836861768369,0.576056338028169,0.9354838709677419,0.9855421686746988,0.22422680412371135,0.7271111111111112,0.36174636174636177,0.6165919899940491,Noise-using-synonym
Fri Jul 31 17:33:31 2020,Teacher,0.0001,64,12,0.5,0.5,0.875460147857666,0.6214196762141968,0.5780590717299579,0.9565217391304348,0.9903614457831326,0.2268041237113402,0.7300177619893429,0.36666666666666664,0.6164458990097046,Noise-using-synonym
Fri Jul 31 19:34:32 2020,Supervised_BILSTM,0.0001,64,10,NaN,NaN,0.7888706922531128,0.5815691158156912,0.6591928251121076,0.5517241379310345,0.36117936117936117,0.8080808080808081,0.4666666666666667,0.6557377049180327,0.689697265625,changed stemming while preprocessing
Fri Jul 31 20:22:58 2020,Student,0.0001,64,12,0.5,0.5,0.8846153616905212,0.5554171855541719,0.5365497076023392,0.6638655462184874,0.9017199017199017,0.1994949494949495,0.6727772685609533,0.3067961165048544,0.6486307382583618,Noise-using-synonym
Fri Jul 31 20:23:06 2020,Teacher,0.0001,64,12,0.5,0.5,0.8846153616905212,0.5541718555417185,0.5364041604754829,0.6461538461538462,0.8869778869778869,0.21212121212121213,0.6685185185185185,0.3193916349809886,0.6456038951873779,Noise-using-synonym
Fri Jul 31 20:28:24 2020,Supervised_BILSTM,0.0001,64,10,NaN,NaN,0.8469721674919128,0.6712328767123288,0.7213622291021672,0.6375,0.5724815724815725,0.7727272727272727,0.6383561643835616,0.6986301369863013,0.5448257327079773,changed stemming while preprocessing
Fri Jul 31 21:16:37 2020,Student,0.0001,64,12,0.5,0.5,0.8109656572341919,0.589041095890411,0.8130081300813008,0.5485294117647059,0.2457002457002457,0.9419191919191919,0.3773584905660377,0.6933085501858737,0.6869666576385498,Noise-using-synonym
Fri Jul 31 21:16:50 2020,Teacher,0.0001,64,12,0.5,0.5,0.8109656572341919,0.5865504358655044,0.7697841726618705,0.5481927710843374,0.2628992628992629,0.9191919191919192,0.39194139194139194,0.6867924528301887,0.6911497116088867,Noise-using-synonym
Fri Jul 31 21:22:03 2020,Supervised_BILSTM,0.0001,64,10,NaN,NaN,0.7962356805801392,0.6699875466998755,0.7709923664122137,0.6210720887245841,0.4963144963144963,0.8484848484848485,0.6038863976083706,0.7171824973319103,0.6466876268386841,changed stemming while preprocessing
Fri Jul 31 22:07:40 2020,Student,0.0001,64,12,0.5,0.5,0.7217676043510437,0.48318804483188044,0.43548387096774194,0.48717948717948717,0.06633906633906633,0.9116161616161617,0.11513859275053305,0.6350043975373791,0.6944583654403687,Noise-using-synonym
Fri Jul 31 22:07:48 2020,Teacher,0.0001,64,12,0.5,0.5,0.7217676043510437,0.48318804483188044,0.43548387096774194,0.48717948717948717,0.06633906633906633,0.9116161616161617,0.11513859275053305,0.6350043975373791,0.6943848133087158,Noise-using-synonym
Fri Jul 31 22:12:50 2020,Supervised_BILSTM,0.0001,64,10,NaN,NaN,0.8461538553237915,0.660024906600249,0.6040372670807453,0.8867924528301887,0.9557739557739557,0.3560606060606061,0.7402473834443387,0.5081081081081082,0.5700147151947021,changed stemming while preprocessing
Sat Aug  1 15:26:53 2020,Supervised_BILSTM,0.0001,128,20,NaN,NaN,0.8878887295722961,0.6911581569115816,0.7238095238095238,0.6553524804177546,0.6972477064220184,0.6839237057220708,0.7102803738317758,0.6693333333333333,0.6545106172561646,changed stemming while preprocessing
Sat Aug  1 16:33:38 2020,Student,0.0001,128,22,0.95,0.5,0.850245475769043,0.6301369863013698,0.8232558139534883,0.5595238095238095,0.4059633027522936,0.896457765667575,0.543778801843318,0.6890052356020943,0.7964944243431091,Noise-using-synonym
Sat Aug  1 16:33:46 2020,Teacher,0.0001,128,22,0.95,0.5,0.850245475769043,0.6525529265255293,0.6554455445544555,0.6476510067114094,0.7591743119266054,0.5258855585831063,0.7035069075451648,0.580451127819549,0.663444459438324,Noise-using-synonym
Sat Aug  1 16:41:19 2020,Supervised_BILSTM,0.0001,128,20,NaN,NaN,0.8306055665016174,0.6724782067247821,0.6622889305816135,0.6925925925925925,0.8096330275229358,0.5095367847411444,0.7285861713106295,0.5871271585557299,0.6422431468963623,changed stemming while preprocessing
Sat Aug  1 17:47:25 2020,Student,0.0001,128,22,0.95,0.5,0.8903437256813049,0.6500622665006227,0.6781609195402298,0.6168478260869565,0.676605504587156,0.6185286103542235,0.6773823191733639,0.617687074829932,0.6086763739585876,Noise-using-synonym
Sat Aug  1 17:47:33 2020,Teacher,0.0001,128,22,0.95,0.5,0.8903437256813049,0.6749688667496887,0.6679462571976967,0.6879432624113475,0.7981651376146789,0.5286103542234333,0.7272727272727272,0.5978428351309707,0.61545729637146,Noise-using-synonym
Sat Aug  1 17:55:10 2020,Supervised_BILSTM,0.0001,128,20,NaN,NaN,0.8625204563140869,0.6836861768368617,0.682,0.6864686468646864,0.7821100917431193,0.5667574931880109,0.7286324786324787,0.6208955223880597,0.6489617824554443,changed stemming while preprocessing
Sat Aug  1 18:33:43 2020,Supervised_BILSTM,0.0001,128,20,NaN,NaN,0.8109656572341919,0.6226650062266501,0.5854014598540146,0.8389830508474576,0.9547619047619048,0.2584856396866841,0.7257918552036199,0.39520958083832336,0.6556932926177979,changed stemming while preprocessing
Sat Aug  1 19:35:16 2020,Student,0.0001,128,20,0.95,0.5,0.8821603655815125,0.6737235367372354,0.6908212560386473,0.6555269922879178,0.680952380952381,0.6657963446475196,0.6858513189448441,0.6606217616580311,0.6377606987953186,Noise-using-synonym
Sat Aug  1 19:35:24 2020,Teacher,0.0001,128,20,0.95,0.5,0.8821603655815125,0.635118306351183,0.7275985663082437,0.5858778625954199,0.48333333333333334,0.8015665796344648,0.580829756795422,0.6769570011025359,0.6475503444671631,Noise-using-synonym
Sat Aug  1 19:43:03 2020,Supervised_BILSTM,0.0001,128,20,NaN,NaN,0.9181669354438782,0.6575342465753424,0.6892950391644909,0.6285714285714286,0.6285714285714286,0.6892950391644909,0.6575342465753425,0.6575342465753425,0.6083283424377441,changed stemming while preprocessing
Sat Aug  1 20:45:29 2020,Student,0.0001,128,20,0.95,0.5,0.8346972465515137,0.6264009962640099,0.6875,0.5859213250517599,0.5238095238095238,0.7389033942558747,0.5945945945945946,0.6535796766743649,0.6711301803588867,Noise-using-synonym
Sat Aug  1 20:45:37 2020,Teacher,0.0001,128,20,0.95,0.5,0.8346972465515137,0.6164383561643836,0.6191489361702127,0.6126126126126126,0.6928571428571428,0.5326370757180157,0.6539325842696629,0.5698324022346368,0.6647171378135681,Noise-using-synonym
Sat Aug  1 20:53:23 2020,Supervised_BILSTM,0.0001,128,20,NaN,NaN,0.7782323956489563,0.651307596513076,0.6219512195121951,0.7248908296943232,0.85,0.43342036553524804,0.7183098591549296,0.5424836601307189,0.6622813940048218,changed stemming while preprocessing
Sat Aug  1 21:59:19 2020,Student,0.0001,128,20,0.95,0.5,0.8903437256813049,0.663760896637609,0.6728110599078341,0.6531165311653117,0.6952380952380952,0.6292428198433421,0.6838407494145199,0.6409574468085106,0.622795581817627,Noise-using-synonym
