Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,Classification_Loss,comment
Tue Aug 25 04:11:59 2020,Student,0.0001,64,10,0.99,0.5,0.8519195318222046,0.7090163934426229,0.6686390532544378,0.8,0.8828125,0.5172413793103449,0.7609427609427608,0.6282722513089005,0.5761541724205017,Noise-using-synonym
Tue Aug 25 04:12:00 2020,Teacher,0.0001,64,10,0.99,0.5,0.8519195318222046,0.7336065573770492,0.723404255319149,0.7475728155339806,0.796875,0.6637931034482759,0.7583643122676581,0.7031963470319635,0.6581012606620789,Noise-using-synonym
Tue Aug 25 04:23:17 2020,Student,0.0001,64,15,0.99,0.5,0.9171236753463745,0.7336065573770492,0.7299270072992701,0.7383177570093458,0.78125,0.6810344827586207,0.7547169811320755,0.7085201793721974,0.6296805739402771,Noise-using-synonym
Tue Aug 25 04:23:17 2020,Teacher,0.0001,64,15,0.99,0.5,0.9171236753463745,0.7049180327868853,0.7333333333333333,0.6774193548387096,0.6875,0.7241379310344828,0.7096774193548386,0.7,0.544520914554596,Noise-using-synonym
Tue Aug 25 04:34:33 2020,Student,0.0001,64,20,0.99,0.5,0.9616087675094604,0.7459016393442623,0.7426470588235294,0.75,0.7890625,0.6982758620689655,0.7651515151515152,0.7232142857142858,0.6810255646705627,Noise-using-synonym
Tue Aug 25 04:34:34 2020,Teacher,0.0001,64,20,0.99,0.5,0.9616087675094604,0.7418032786885246,0.7241379310344828,0.7676767676767676,0.8203125,0.6551724137931034,0.7692307692307693,0.7069767441860466,0.589211642742157,Noise-using-synonym
Tue Aug 25 04:46:09 2020,Student,0.0001,64,25,0.99,0.5,0.989640474319458,0.7172131147540983,0.7322834645669292,0.7008547008547008,0.7265625,0.7068965517241379,0.7294117647058824,0.7038626609442059,1.0780541896820068,Noise-using-synonym
Tue Aug 25 04:46:10 2020,Teacher,0.0001,64,25,0.99,0.5,0.989640474319458,0.7295081967213115,0.7313432835820896,0.7272727272727273,0.765625,0.6896551724137931,0.748091603053435,0.7079646017699116,0.8695248961448669,Noise-using-synonym
Tue Aug 25 04:57:52 2020,Student,0.0001,64,30,0.99,0.5,0.9878122806549072,0.6926229508196722,0.6827586206896552,0.7070707070707071,0.7734375,0.603448275862069,0.7252747252747254,0.6511627906976744,1.3376878499984741,Noise-using-synonym
Tue Aug 25 04:57:53 2020,Teacher,0.0001,64,30,0.99,0.5,0.9878122806549072,0.6926229508196722,0.712,0.6722689075630253,0.6953125,0.6896551724137931,0.7035573122529644,0.6808510638297872,1.0786142349243164,Noise-using-synonym
Tue Aug 25 05:21:21 2020,Student,0.0001,64,10,0.99,0.5,0.8726386427879333,0.6311475409836066,0.6818181818181818,0.5895522388059702,0.5769230769230769,0.6929824561403509,0.6249999999999999,0.6370967741935485,0.6010496616363525,Noise-using-synonym
Tue Aug 25 05:21:22 2020,Teacher,0.0001,64,10,0.99,0.5,0.8726386427879333,0.7172131147540983,0.6763005780346821,0.8169014084507042,0.9,0.5087719298245614,0.7722772277227723,0.6270270270270271,0.6445837020874023,Noise-using-synonym
Tue Aug 25 05:32:45 2020,Student,0.0001,64,15,0.99,0.5,0.9488117098808289,0.6680327868852459,0.6762589928057554,0.6571428571428571,0.7230769230769231,0.6052631578947368,0.6988847583643124,0.6301369863013698,0.7953131794929504,Noise-using-synonym
Tue Aug 25 05:32:46 2020,Teacher,0.0001,64,15,0.99,0.5,0.9488117098808289,0.6926229508196722,0.6729559748427673,0.7294117647058823,0.823076923076923,0.543859649122807,0.740484429065744,0.6231155778894473,0.5549604892730713,Noise-using-synonym
Tue Aug 25 05:44:29 2020,Student,0.0001,64,20,0.99,0.5,0.9652650952339172,0.6311475409836066,0.6123595505617978,0.6818181818181818,0.8384615384615385,0.39473684210526316,0.7077922077922079,0.5,0.7792311906814575,Noise-using-synonym
Tue Aug 25 05:44:30 2020,Teacher,0.0001,64,20,0.99,0.5,0.9652650952339172,0.6885245901639344,0.6824324324324325,0.6979166666666666,0.7769230769230769,0.5877192982456141,0.7266187050359713,0.638095238095238,0.680240273475647,Noise-using-synonym
Tue Aug 25 05:56:20 2020,Student,0.0001,64,25,0.99,0.5,0.9872029423713684,0.6926229508196722,0.6896551724137931,0.696969696969697,0.7692307692307693,0.6052631578947368,0.7272727272727274,0.6478873239436619,0.7214410901069641,Noise-using-synonym
Tue Aug 25 05:56:21 2020,Teacher,0.0001,64,25,0.99,0.5,0.9872029423713684,0.6762295081967213,0.6946564885496184,0.6548672566371682,0.7,0.6491228070175439,0.6973180076628351,0.6519823788546256,0.8155487775802612,Noise-using-synonym
Tue Aug 25 06:07:39 2020,Student,0.0001,64,30,0.99,0.5,0.9951249361038208,0.6762295081967213,0.6946564885496184,0.6548672566371682,0.7,0.6491228070175439,0.6973180076628351,0.6519823788546256,0.9858818054199219,Noise-using-synonym
Tue Aug 25 06:07:39 2020,Teacher,0.0001,64,30,0.99,0.5,0.9951249361038208,0.6762295081967213,0.6917293233082706,0.6576576576576577,0.7076923076923077,0.6403508771929824,0.699619771863118,0.648888888888889,0.8764925599098206,Noise-using-synonym
Tue Aug 25 06:30:38 2020,Student,0.0001,64,10,0.99,0.5,0.8324192762374878,0.6557377049180327,0.6864406779661016,0.626984126984127,0.6328125,0.6810344827586207,0.6585365853658537,0.6528925619834711,0.5954610109329224,Noise-using-synonym
Tue Aug 25 06:30:38 2020,Teacher,0.0001,64,10,0.99,0.5,0.8324192762374878,0.610655737704918,0.726027397260274,0.5614035087719298,0.4140625,0.8275862068965517,0.527363184079602,0.6689895470383276,0.6724079251289368,Noise-using-synonym
Tue Aug 25 06:42:15 2020,Student,0.0001,64,15,0.99,0.5,0.9122486114501953,0.6762295081967213,0.6560509554140127,0.7126436781609196,0.8046875,0.5344827586206896,0.7228070175438596,0.6108374384236452,0.7881528735160828,Noise-using-synonym
Tue Aug 25 06:42:16 2020,Teacher,0.0001,64,15,0.99,0.5,0.9122486114501953,0.6885245901639344,0.678082191780822,0.7040816326530612,0.7734375,0.5948275862068966,0.7226277372262775,0.6448598130841122,0.5463221669197083,Noise-using-synonym
Tue Aug 25 06:53:59 2020,Student,0.0001,64,20,0.99,0.5,0.9512492418289185,0.6475409836065574,0.6590909090909091,0.6339285714285714,0.6796875,0.6120689655172413,0.6692307692307692,0.6228070175438596,1.0002244710922241,Noise-using-synonym
Tue Aug 25 06:53:59 2020,Teacher,0.0001,64,20,0.99,0.5,0.9512492418289185,0.6762295081967213,0.6580645161290323,0.7078651685393258,0.796875,0.5431034482758621,0.7208480565371025,0.6146341463414634,0.758115828037262,Noise-using-synonym
Tue Aug 25 07:06:00 2020,Student,0.0001,64,25,0.99,0.5,0.9695307612419128,0.6639344262295082,0.6916666666666667,0.6370967741935484,0.6484375,0.6810344827586207,0.6693548387096774,0.6583333333333333,1.0600509643554688,Noise-using-synonym
Tue Aug 25 07:06:00 2020,Teacher,0.0001,64,25,0.99,0.5,0.9695307612419128,0.6598360655737705,0.6618705035971223,0.6571428571428571,0.71875,0.5948275862068966,0.6891385767790262,0.6244343891402715,0.8797721862792969,Noise-using-synonym
Tue Aug 25 07:17:34 2020,Student,0.0001,64,30,0.99,0.5,0.9817184805870056,0.6844262295081968,0.6946564885496184,0.672566371681416,0.7109375,0.6551724137931034,0.7027027027027029,0.6637554585152838,1.1881550550460815,Noise-using-synonym
Tue Aug 25 07:17:34 2020,Teacher,0.0001,64,30,0.99,0.5,0.9817184805870056,0.6639344262295082,0.6742424242424242,0.6517857142857143,0.6953125,0.6293103448275862,0.6846153846153845,0.6403508771929824,1.043161392211914,Noise-using-synonym
Tue Aug 25 07:41:22 2020,Student,0.0001,64,10,0.99,0.5,0.8757612705230713,0.7283950617283951,0.7870370370370371,0.6814814814814815,0.6640625,0.8,0.7203389830508474,0.7360000000000001,0.4867888391017914,Noise-using-synonym
Tue Aug 25 07:41:23 2020,Teacher,0.0001,64,10,0.99,0.5,0.8757612705230713,0.7160493827160493,0.6766467065868264,0.8026315789473685,0.8828125,0.5304347826086957,0.7661016949152543,0.6387434554973822,0.6571294665336609,Noise-using-synonym
Tue Aug 25 07:52:59 2020,Student,0.0001,64,15,0.99,0.5,0.9464068412780762,0.7366255144032922,0.7388059701492538,0.7339449541284404,0.7734375,0.6956521739130435,0.7557251908396947,0.7142857142857143,0.5874050259590149,Noise-using-synonym
Tue Aug 25 07:52:59 2020,Teacher,0.0001,64,15,0.99,0.5,0.9464068412780762,0.7448559670781894,0.746268656716418,0.7431192660550459,0.78125,0.7043478260869566,0.7633587786259542,0.7232142857142856,0.48090481758117676,Noise-using-synonym
Tue Aug 25 08:04:39 2020,Student,0.0001,64,20,0.99,0.5,0.9738124012947083,0.7242798353909465,0.744,0.7033898305084746,0.7265625,0.7217391304347827,0.7351778656126482,0.7124463519313304,0.8435279130935669,Noise-using-synonym
Tue Aug 25 08:04:39 2020,Teacher,0.0001,64,20,0.99,0.5,0.9738124012947083,0.7366255144032922,0.7388059701492538,0.7339449541284404,0.7734375,0.6956521739130435,0.7557251908396947,0.7142857142857143,0.593415379524231,Noise-using-synonym
Tue Aug 25 08:16:12 2020,Student,0.0001,64,25,0.99,0.5,0.9537149667739868,0.7037037037037037,0.7058823529411765,0.7009345794392523,0.75,0.6521739130434783,0.7272727272727272,0.6756756756756757,0.6866514682769775,Noise-using-synonym
Tue Aug 25 08:16:12 2020,Teacher,0.0001,64,25,0.99,0.5,0.9537149667739868,0.7407407407407407,0.7272727272727273,0.76,0.8125,0.6608695652173913,0.7675276752767528,0.7069767441860464,0.6605573296546936,Noise-using-synonym
Tue Aug 25 08:27:38 2020,Student,0.0001,64,30,0.99,0.5,0.9908648133277893,0.7489711934156379,0.7310344827586207,0.7755102040816326,0.828125,0.6608695652173913,0.7765567765567765,0.7136150234741784,0.764272153377533,Noise-using-synonym
Tue Aug 25 08:27:38 2020,Teacher,0.0001,64,30,0.99,0.5,0.9908648133277893,0.7366255144032922,0.7133333333333334,0.7741935483870968,0.8359375,0.6260869565217392,0.7697841726618705,0.6923076923076923,0.7000960111618042,Noise-using-synonym
Tue Aug 25 08:50:45 2020,Student,0.0001,64,10,0.99,0.5,0.814859926700592,0.7037037037037037,0.6618705035971223,0.7596153846153846,0.7863247863247863,0.626984126984127,0.71875,0.6869565217391305,0.5256543159484863,Noise-using-synonym
Tue Aug 25 08:50:45 2020,Teacher,0.0001,64,10,0.99,0.5,0.814859926700592,0.6584362139917695,0.6307692307692307,0.6902654867256637,0.7008547008547008,0.6190476190476191,0.6639676113360323,0.6527196652719665,0.6663829684257507,Noise-using-synonym
Tue Aug 25 09:01:54 2020,Student,0.0001,64,15,0.99,0.5,0.9293544292449951,0.691358024691358,0.7019230769230769,0.6834532374100719,0.6239316239316239,0.753968253968254,0.6606334841628959,0.7169811320754716,0.7787448763847351,Noise-using-synonym
Tue Aug 25 09:01:55 2020,Teacher,0.0001,64,15,0.99,0.5,0.9293544292449951,0.7037037037037037,0.6642335766423357,0.7547169811320755,0.7777777777777778,0.6349206349206349,0.7165354330708661,0.6896551724137931,0.5124139189720154,Noise-using-synonym
Tue Aug 25 09:13:03 2020,Student,0.0001,64,20,0.99,0.5,0.9604141116142273,0.7037037037037037,0.7064220183486238,0.7014925373134329,0.6581196581196581,0.746031746031746,0.6814159292035399,0.7230769230769232,0.8796734809875488,Noise-using-synonym
Tue Aug 25 09:13:03 2020,Teacher,0.0001,64,20,0.99,0.5,0.9604141116142273,0.7078189300411523,0.676923076923077,0.7433628318584071,0.7521367521367521,0.6666666666666666,0.7125506072874495,0.702928870292887,0.615407407283783,Noise-using-synonym
Tue Aug 25 09:24:16 2020,Student,0.0001,64,25,0.99,0.5,0.9768574833869934,0.6995884773662552,0.6896551724137931,0.7086614173228346,0.6837606837606838,0.7142857142857143,0.6866952789699572,0.7114624505928855,1.100799560546875,Noise-using-synonym
Tue Aug 25 09:24:16 2020,Teacher,0.0001,64,25,0.99,0.5,0.9768574833869934,0.6954732510288066,0.680672268907563,0.7096774193548387,0.6923076923076923,0.6984126984126984,0.6864406779661016,0.704,0.7726887464523315,Noise-using-synonym
Tue Aug 25 09:35:41 2020,Student,0.0001,64,30,0.99,0.5,0.9841656684875488,0.7160493827160493,0.7068965517241379,0.7244094488188977,0.7008547008547008,0.7301587301587301,0.7038626609442059,0.7272727272727272,1.1170259714126587,Noise-using-synonym
Tue Aug 25 09:35:42 2020,Teacher,0.0001,64,30,0.99,0.5,0.9841656684875488,0.7160493827160493,0.7142857142857143,0.7175572519083969,0.6837606837606838,0.746031746031746,0.6986899563318778,0.7315175097276264,0.8977906703948975,Noise-using-synonym
Tue Aug 25 10:00:53 2020,Student,0.0001,64,10,0.99,0.5,0.8233861327171326,0.6378600823045267,0.7843137254901961,0.5989583333333334,0.3418803418803419,0.9126984126984127,0.4761904761904762,0.7232704402515724,0.6265485882759094,Noise-using-synonym
Tue Aug 25 10:00:53 2020,Teacher,0.0001,64,10,0.99,0.5,0.8233861327171326,0.6995884773662552,0.6428571428571429,0.797752808988764,0.8461538461538461,0.5634920634920635,0.7306273062730628,0.6604651162790697,0.6513387560844421,Noise-using-synonym
Tue Aug 25 10:13:43 2020,Student,0.0001,64,15,0.99,0.5,0.92813640832901,0.7037037037037037,0.6618705035971223,0.7596153846153846,0.7863247863247863,0.626984126984127,0.71875,0.6869565217391305,0.7496281862258911,Noise-using-synonym
Tue Aug 25 10:13:44 2020,Teacher,0.0001,64,15,0.99,0.5,0.92813640832901,0.720164609053498,0.6814814814814815,0.7685185185185185,0.7863247863247863,0.6587301587301587,0.7301587301587301,0.7094017094017093,0.5435599088668823,Noise-using-synonym
Tue Aug 25 10:26:37 2020,Student,0.0001,64,20,0.99,0.5,0.956151008605957,0.6790123456790124,0.672566371681416,0.6846153846153846,0.6495726495726496,0.7063492063492064,0.6608695652173914,0.6953125000000001,1.0085248947143555,Noise-using-synonym
Tue Aug 25 10:26:38 2020,Teacher,0.0001,64,20,0.99,0.5,0.956151008605957,0.7078189300411523,0.6575342465753424,0.7835051546391752,0.8205128205128205,0.6031746031746031,0.7300380228136882,0.6816143497757847,0.7467631697654724,Noise-using-synonym
Tue Aug 25 10:39:19 2020,Student,0.0001,64,25,0.99,0.5,0.9738124012947083,0.720164609053498,0.696,0.7457627118644068,0.7435897435897436,0.6984126984126984,0.7190082644628099,0.7213114754098361,0.9429424405097961,Noise-using-synonym
