Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,Classification_Loss,comment
Fri Aug 14 16:22:59 2020,Student,0.0001,64,10,0.99,0.5,0.8027822971343994,0.6463262764632628,0.6112084063047285,0.7327586206896551,0.8491484184914841,0.4336734693877551,0.7107942973523421,0.5448717948717948,0.5887808799743652,Noise-using-synonym
Fri Aug 14 16:23:02 2020,Teacher,0.0001,64,10,0.99,0.5,0.8027822971343994,0.6425902864259029,0.655,0.630272952853598,0.6374695863746959,0.6479591836734694,0.6461159062885327,0.6389937106918238,0.6847658753395081,Noise-using-synonym
Fri Aug 14 16:38:53 2020,Student,0.0001,64,15,0.99,0.5,0.9091653227806091,0.6724782067247821,0.6629955947136564,0.6848137535816619,0.732360097323601,0.6096938775510204,0.6959537572254335,0.6450742240215924,0.642475426197052,Noise-using-synonym
Fri Aug 14 16:38:57 2020,Teacher,0.0001,64,15,0.99,0.5,0.9091653227806091,0.6450809464508095,0.6632124352331606,0.6282973621103117,0.6228710462287105,0.6683673469387755,0.642409033877039,0.6477132262051916,0.6412034034729004,Noise-using-synonym
Fri Aug 14 16:54:54 2020,Student,0.0001,64,20,0.99,0.5,0.9468085169792175,0.6500622665006227,0.6846590909090909,0.623059866962306,0.5863746958637469,0.7168367346938775,0.6317169069462647,0.6666666666666666,0.6176598072052002,Noise-using-synonym
Fri Aug 14 16:54:57 2020,Teacher,0.0001,64,20,0.99,0.5,0.9468085169792175,0.6575342465753424,0.6511111111111111,0.6657223796033994,0.7128953771289538,0.5994897959183674,0.6806039488966318,0.6308724832214765,0.587145209312439,Noise-using-synonym
Fri Aug 14 17:10:53 2020,Student,0.0001,64,25,0.99,0.5,0.920621931552887,0.6537982565379825,0.6296296296296297,0.696551724137931,0.7858880778588808,0.5153061224489796,0.6991341991341992,0.592375366568915,0.9529573321342468,Noise-using-synonym
Fri Aug 14 17:10:56 2020,Teacher,0.0001,64,25,0.99,0.5,0.920621931552887,0.6774595267745953,0.6767441860465117,0.67828418230563,0.708029197080292,0.6454081632653061,0.6920332936979786,0.661437908496732,0.6072245836257935,Noise-using-synonym
Fri Aug 14 17:26:56 2020,Student,0.0001,64,30,0.99,0.5,0.978723406791687,0.6749688667496887,0.6777251184834123,0.6719160104986877,0.6958637469586375,0.6530612244897959,0.6866746698679472,0.6623544631306598,0.895621120929718,Noise-using-synonym
Fri Aug 14 17:26:59 2020,Teacher,0.0001,64,30,0.99,0.5,0.978723406791687,0.6836861768368617,0.6788154897494305,0.6895604395604396,0.7250608272506083,0.6403061224489796,0.7011764705882353,0.6640211640211641,0.7666921615600586,Noise-using-synonym
Fri Aug 14 17:59:22 2020,Student,0.0001,64,10,0.99,0.5,0.8117839694023132,0.660024906600249,0.6190476190476191,0.772093023255814,0.8813559322033898,0.4256410256410256,0.7272727272727274,0.5487603305785125,0.5931406617164612,Noise-using-synonym
Fri Aug 14 17:59:25 2020,Teacher,0.0001,64,10,0.99,0.5,0.8117839694023132,0.6425902864259029,0.6346153846153846,0.6537313432835821,0.7191283292978208,0.5615384615384615,0.6742338251986378,0.6041379310344828,0.6855953931808472,Noise-using-synonym
Fri Aug 14 18:15:30 2020,Student,0.0001,64,15,0.99,0.5,0.9320785403251648,0.6612702366127023,0.6890080428954424,0.6372093023255814,0.6222760290556901,0.7025641025641025,0.6539440203562341,0.6682926829268293,0.6469833254814148,Noise-using-synonym
Fri Aug 14 18:15:33 2020,Teacher,0.0001,64,15,0.99,0.5,0.9320785403251648,0.6525529265255293,0.6313725490196078,0.689419795221843,0.7796610169491526,0.517948717948718,0.6977248104008666,0.5915080527086385,0.6381517648696899,Noise-using-synonym
