Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,Classification_Loss,comment
Thu Aug 20 17:34:57 2020,Student,0.0001,64,10,0.99,0.5,0.8576104640960693,0.6861768368617683,0.706989247311828,0.6682134570765661,0.6477832512315271,0.72544080604534,0.6760925449871465,0.6956521739130433,0.5800962448120117,Noise-using-synonym
Thu Aug 20 17:34:59 2020,Teacher,0.0001,64,10,0.99,0.5,0.8576104640960693,0.6450809464508095,0.6704225352112676,0.625,0.5862068965517241,0.7052896725440806,0.6254927726675427,0.6627218934911243,0.680785059928894,Noise-using-synonym
Thu Aug 20 17:43:09 2020,Student,0.0001,64,15,0.99,0.5,0.9410802125930786,0.6861768368617683,0.7138888888888889,0.6636568848758465,0.6330049261083743,0.7405541561712846,0.6710182767624021,0.7,0.7353759407997131,Noise-using-synonym
Thu Aug 20 17:43:11 2020,Teacher,0.0001,64,15,0.99,0.5,0.9410802125930786,0.6787048567870486,0.6541666666666667,0.7151702786377709,0.7733990147783252,0.5818639798488665,0.708803611738149,0.6416666666666667,0.604833722114563,Noise-using-synonym
Thu Aug 20 17:51:23 2020,Student,0.0001,64,20,0.99,0.5,0.9779050946235657,0.6749688667496887,0.7113702623906706,0.6478260869565218,0.6009852216748769,0.7506297229219143,0.6515353805073432,0.6954492415402567,1.0406923294067383,Noise-using-synonym
Thu Aug 20 17:51:24 2020,Teacher,0.0001,64,20,0.99,0.5,0.9779050946235657,0.6824408468244084,0.6784869976359338,0.6868421052631579,0.7068965517241379,0.6574307304785895,0.692400482509047,0.6718146718146718,0.6226415634155273,Noise-using-synonym
Thu Aug 20 17:59:40 2020,Student,0.0001,64,25,0.99,0.5,0.9893617033958435,0.6712328767123288,0.6848958333333334,0.6587112171837709,0.6477832512315271,0.6952141057934509,0.6658227848101266,0.6764705882352943,1.0958261489868164,Noise-using-synonym
Thu Aug 20 17:59:42 2020,Teacher,0.0001,64,25,0.99,0.5,0.9893617033958435,0.6724782067247821,0.6783042394014963,0.6666666666666666,0.6699507389162561,0.6750629722921915,0.6741016109045849,0.6708385481852315,0.8464996814727783,Noise-using-synonym
Thu Aug 20 18:08:05 2020,Student,0.0001,64,30,0.99,0.5,0.987725019454956,0.6749688667496887,0.672209026128266,0.6780104712041884,0.6970443349753694,0.6523929471032746,0.6844014510278114,0.6649550706033377,1.2544605731964111,Noise-using-synonym
Thu Aug 20 18:08:06 2020,Teacher,0.0001,64,30,0.99,0.5,0.987725019454956,0.6737235367372354,0.6884816753926701,0.6603325415676959,0.6477832512315271,0.7002518891687658,0.6675126903553299,0.6797066014669927,1.0875422954559326,Noise-using-synonym
Thu Aug 20 18:25:07 2020,Student,0.0001,64,10,0.99,0.5,0.8633387684822083,0.6264009962640099,0.8757062146892656,0.5559105431309904,0.3579676674364896,0.9405405405405406,0.5081967213114754,0.6987951807228916,0.6679550409317017,Noise-using-synonym
Thu Aug 20 18:25:08 2020,Teacher,0.0001,64,10,0.99,0.5,0.8633387684822083,0.4794520547945205,1.0,0.46954314720812185,0.03464203233256351,1.0,0.0669642857142857,0.6390328151986183,0.6891723275184631,Noise-using-synonym
Thu Aug 20 18:33:28 2020,Student,0.0001,64,15,0.99,0.5,0.9099836349487305,0.6787048567870486,0.7675840978593272,0.6176470588235294,0.5796766743648961,0.7945945945945946,0.6605263157894737,0.6950354609929078,0.7492814660072327,Noise-using-synonym
Thu Aug 20 18:33:29 2020,Teacher,0.0001,64,15,0.99,0.5,0.9099836349487305,0.6587795765877957,0.6754966887417219,0.6371428571428571,0.7066974595842956,0.6027027027027027,0.690744920993228,0.6194444444444445,0.6418105363845825,Noise-using-synonym
Thu Aug 20 18:41:51 2020,Student,0.0001,64,20,0.99,0.5,0.9599018096923828,0.6674968866749689,0.6820175438596491,0.6484149855907781,0.7182448036951501,0.6081081081081081,0.6996625421822271,0.6276150627615062,0.9203367829322815,Noise-using-synonym
Thu Aug 20 18:41:52 2020,Teacher,0.0001,64,20,0.99,0.5,0.9599018096923828,0.676214196762142,0.7613293051359517,0.6165254237288136,0.581986143187067,0.7864864864864864,0.6596858638743456,0.6912114014251781,0.6191202402114868,Noise-using-synonym
Thu Aug 20 18:50:11 2020,Student,0.0001,64,25,0.99,0.5,0.9819967150688171,0.6799501867995019,0.7095238095238096,0.6475195822454308,0.6882217090069284,0.6702702702702703,0.6987104337631888,0.6586985391766269,1.0788613557815552,Noise-using-synonym
Thu Aug 20 18:50:12 2020,Teacher,0.0001,64,25,0.99,0.5,0.9819967150688171,0.6787048567870486,0.711864406779661,0.6435897435897436,0.6789838337182448,0.6783783783783783,0.6950354609929078,0.6605263157894737,0.7611786127090454,Noise-using-synonym
Thu Aug 20 18:58:31 2020,Student,0.0001,64,30,0.99,0.5,0.9664484262466431,0.6450809464508095,0.6859296482412061,0.6049382716049383,0.6304849884526559,0.6621621621621622,0.6570397111913356,0.632258064516129,0.963406503200531,Noise-using-synonym
Thu Aug 20 18:58:32 2020,Teacher,0.0001,64,30,0.99,0.5,0.9664484262466431,0.6525529265255293,0.6645299145299145,0.6358208955223881,0.7182448036951501,0.5756756756756757,0.690344062153163,0.6042553191489362,0.9698681831359863,Noise-using-synonym
Thu Aug 20 19:15:39 2020,Student,0.0001,64,10,0.99,0.5,0.8281505703926086,0.6463262764632628,0.7870370370370371,0.5945485519591142,0.4166666666666667,0.8835443037974684,0.5448717948717949,0.710794297352342,0.6142861843109131,Noise-using-synonym
Thu Aug 20 19:15:40 2020,Teacher,0.0001,64,10,0.99,0.5,0.8281505703926086,0.5990037359900373,0.7415730337078652,0.5584,0.3235294117647059,0.8835443037974684,0.4505119453924915,0.6843137254901961,0.6834921836853027,Noise-using-synonym
Thu Aug 20 19:24:05 2020,Student,0.0001,64,15,0.99,0.5,0.9238952398300171,0.6687422166874222,0.713855421686747,0.6369426751592356,0.5808823529411765,0.759493670886076,0.6405405405405405,0.6928406466512702,0.7477065920829773,Noise-using-synonym
