Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,Classification_Loss,comment
Thu Aug 20 05:27:52 2020,Student,0.0001,64,10,0.99,0.5,0.878068745136261,0.6014943960149439,0.8054054054054054,0.540453074433657,0.3441108545034642,0.9027027027027027,0.48220064724919093,0.6761133603238867,0.6852914094924927,Noise-using-synonym
Thu Aug 20 05:27:57 2020,Teacher,0.0001,64,10,0.99,0.5,0.878068745136261,0.6575342465753424,0.7438271604938271,0.5991649269311065,0.5565819861431871,0.7756756756756756,0.6367239101717306,0.6760895170789164,0.6821249723434448,Noise-using-synonym
Thu Aug 20 05:43:31 2020,Student,0.0001,64,15,0.99,0.5,0.9050736427307129,0.6164383561643836,0.7162629757785467,0.5603112840466926,0.4780600461893764,0.7783783783783784,0.5734072022160664,0.6515837104072398,0.6590551733970642,Noise-using-synonym
Thu Aug 20 05:43:35 2020,Teacher,0.0001,64,15,0.99,0.5,0.9050736427307129,0.6562889165628891,0.6772009029345373,0.6305555555555555,0.6928406466512702,0.6135135135135135,0.684931506849315,0.6219178082191781,0.6257498860359192,Noise-using-synonym
Thu Aug 20 05:59:11 2020,Student,0.0001,64,20,0.99,0.5,0.969721794128418,0.6575342465753424,0.6779279279279279,0.6323119777158774,0.6951501154734411,0.6135135135135135,0.6864310148232611,0.6227709190672154,0.7157225012779236,Noise-using-synonym
Thu Aug 20 05:59:14 2020,Teacher,0.0001,64,20,0.99,0.5,0.969721794128418,0.6787048567870486,0.6712328767123288,0.6917808219178082,0.792147806004619,0.5459459459459459,0.7266949152542374,0.6102719033232628,0.5918669700622559,Noise-using-synonym
Thu Aug 20 06:14:55 2020,Student,0.0001,64,25,0.99,0.5,0.9844517111778259,0.6650062266500623,0.6980676328502415,0.6298200514138818,0.6674364896073903,0.6621621621621622,0.6824085005903188,0.6455862977602108,0.9073100686073303,Noise-using-synonym
Thu Aug 20 06:14:58 2020,Teacher,0.0001,64,25,0.99,0.5,0.9844517111778259,0.6662515566625156,0.6789587852494577,0.6491228070175439,0.7228637413394919,0.6,0.7002237136465325,0.6235955056179776,0.6835166811943054,Noise-using-synonym
Thu Aug 20 06:30:43 2020,Student,0.0001,64,30,0.99,0.5,0.9926350116729736,0.663760896637609,0.6899766899766899,0.6336898395721925,0.6836027713625866,0.6405405405405405,0.6867749419953596,0.6370967741935484,0.9999350309371948,Noise-using-synonym
Thu Aug 20 06:30:47 2020,Teacher,0.0001,64,30,0.99,0.5,0.9926350116729736,0.6537982565379825,0.6710816777041942,0.6314285714285715,0.7020785219399538,0.5972972972972973,0.6862302483069977,0.6138888888888888,0.8151438236236572,Noise-using-synonym
Thu Aug 20 07:02:05 2020,Student,0.0001,64,10,0.99,0.5,0.8608837723731995,0.6724782067247821,0.6466431095406361,0.7341772151898734,0.8531468531468531,0.46524064171123,0.735678391959799,0.5695581014729951,0.5882841348648071,Noise-using-synonym
Thu Aug 20 07:02:08 2020,Teacher,0.0001,64,10,0.99,0.5,0.8608837723731995,0.6400996264009963,0.7023121387283237,0.5929978118161926,0.5664335664335665,0.7245989304812834,0.6270967741935483,0.6522262334536704,0.6837038993835449,Noise-using-synonym
Thu Aug 20 07:17:37 2020,Student,0.0001,64,15,0.99,0.5,0.9067103266716003,0.6787048567870486,0.7021276595744681,0.6526315789473685,0.6923076923076923,0.6631016042780749,0.6971830985915493,0.6578249336870027,0.7975759506225586,Noise-using-synonym
Thu Aug 20 07:17:40 2020,Teacher,0.0001,64,15,0.99,0.5,0.9067103266716003,0.6787048567870486,0.675564681724846,0.6835443037974683,0.7668997668997669,0.5775401069518716,0.7183406113537119,0.6260869565217392,0.6258673071861267,Noise-using-synonym
Thu Aug 20 07:33:19 2020,Student,0.0001,64,20,0.99,0.5,0.6808510422706604,0.4794520547945205,0.8235294117647058,0.4720101781170484,0.03263403263403263,0.9919786096256684,0.06278026905829595,0.6396551724137931,0.7009790539741516,Noise-using-synonym
Thu Aug 20 07:33:23 2020,Teacher,0.0001,64,20,0.99,0.5,0.6808510422706604,0.48318804483188044,0.8181818181818182,0.4737516005121639,0.04195804195804196,0.9893048128342246,0.07982261640798226,0.6406926406926406,0.8477993607521057,Noise-using-synonym
Thu Aug 20 07:48:52 2020,Student,0.0001,64,25,0.99,0.5,0.6783960461616516,0.5541718555417185,0.7983193277310925,0.5116959064327485,0.22144522144522144,0.9358288770053476,0.3467153284671533,0.6616257088846881,0.6957604289054871,Noise-using-synonym
Thu Aug 20 07:48:55 2020,Teacher,0.0001,64,25,0.99,0.5,0.6783960461616516,0.48194271481942713,0.8095238095238095,0.4731457800511509,0.039627039627039624,0.9893048128342246,0.07555555555555556,0.6401384083044982,0.7303692698478699,Noise-using-synonym
Thu Aug 20 08:04:19 2020,Student,0.0001,64,30,0.99,0.5,0.82896888256073,0.5566625155666252,0.7744360902255639,0.5134328358208955,0.2400932400932401,0.9197860962566845,0.3665480427046263,0.6590038314176244,0.7134395837783813,Noise-using-synonym
Thu Aug 20 08:04:23 2020,Teacher,0.0001,64,30,0.99,0.5,0.82896888256073,0.47820672478206727,0.75,0.47126436781609193,0.03496503496503497,0.9866310160427807,0.06681514476614699,0.6378565254969749,0.7200146913528442,Noise-using-synonym
Thu Aug 20 08:35:53 2020,Student,0.0001,64,10,0.99,0.5,0.8330605626106262,0.6986301369863014,0.6476345840130505,0.8631578947368421,0.9385342789598109,0.43157894736842106,0.7664092664092663,0.5754385964912281,0.5712853670120239,Noise-using-synonym
Thu Aug 20 08:35:56 2020,Teacher,0.0001,64,10,0.99,0.5,0.8330605626106262,0.6562889165628891,0.6187399030694669,0.782608695652174,0.9054373522458629,0.37894736842105264,0.7351247600767754,0.5106382978723404,0.6798924803733826,Noise-using-synonym
Thu Aug 20 08:51:28 2020,Student,0.0001,64,15,0.99,0.5,0.9189852476119995,0.684931506849315,0.717948717948718,0.6537530266343826,0.6619385342789598,0.7105263157894737,0.6888068880688807,0.6809583858764188,0.6579288840293884,Noise-using-synonym
Thu Aug 20 08:51:32 2020,Teacher,0.0001,64,15,0.99,0.5,0.9189852476119995,0.684931506849315,0.6517857142857143,0.7613168724279835,0.8628841607565012,0.4868421052631579,0.7426246185147508,0.593900481540931,0.6191686391830444,Noise-using-synonym
Thu Aug 20 09:07:02 2020,Student,0.0001,64,20,0.99,0.5,0.9198036193847656,0.6288916562889165,0.6582278481012658,0.6004901960784313,0.6146572104018913,0.6447368421052632,0.6356968215158924,0.6218274111675127,0.6384070515632629,Noise-using-synonym
Thu Aug 20 09:07:06 2020,Teacher,0.0001,64,20,0.99,0.5,0.9198036193847656,0.6338729763387297,0.763265306122449,0.5770609318996416,0.44208037825059104,0.8473684210526315,0.559880239520958,0.6865671641791045,0.627305805683136,Noise-using-synonym
Thu Aug 20 09:22:43 2020,Student,0.0001,64,25,0.99,0.5,0.9680851101875305,0.6650062266500623,0.7549668874172185,0.6107784431137725,0.5390070921985816,0.8052631578947368,0.6289655172413793,0.6946651532349604,0.7290152311325073,Noise-using-synonym
Thu Aug 20 09:22:47 2020,Teacher,0.0001,64,25,0.99,0.5,0.9680851101875305,0.6562889165628891,0.7348242811501597,0.6061224489795919,0.5437352245862884,0.781578947368421,0.625,0.6827586206896552,0.6273963451385498,Noise-using-synonym
Thu Aug 20 09:38:09 2020,Student,0.0001,64,30,0.99,0.5,0.9664484262466431,0.651307596513076,0.6838046272493573,0.6207729468599034,0.6288416075650118,0.6763157894736842,0.6551724137931034,0.6473551637279598,0.6247640252113342,Noise-using-synonym
Thu Aug 20 09:38:13 2020,Teacher,0.0001,64,30,0.99,0.5,0.9664484262466431,0.651307596513076,0.6739659367396593,0.6275510204081632,0.6548463356973995,0.6473684210526316,0.6642685851318944,0.6373056994818653,0.6108214259147644,Noise-using-synonym
Thu Aug 20 10:09:31 2020,Student,0.0001,64,10,0.99,0.5,0.8592471480369568,0.6425902864259029,0.6540284360189573,0.6299212598425197,0.6618705035971223,0.6217616580310881,0.6579261025029798,0.6258148631029986,0.6189993023872375,Noise-using-synonym
Thu Aug 20 10:09:34 2020,Teacher,0.0001,64,10,0.99,0.5,0.8592471480369568,0.6239103362391034,0.6448362720403022,0.603448275862069,0.6139088729016786,0.6347150259067358,0.628992628992629,0.6186868686868687,0.6825429201126099,Noise-using-synonym
Thu Aug 20 10:24:55 2020,Student,0.0001,64,15,0.99,0.5,0.9402618408203125,0.6500622665006227,0.6683168316831684,0.631578947368421,0.6474820143884892,0.6528497409326425,0.6577344701583434,0.6420382165605095,0.6631911396980286,Noise-using-synonym
Thu Aug 20 10:24:58 2020,Teacher,0.0001,64,15,0.99,0.5,0.9402618408203125,0.6699875466998755,0.6623931623931624,0.6805970149253732,0.7434052757793765,0.5906735751295337,0.7005649717514123,0.6324549237170597,0.6291443109512329,Noise-using-synonym
Thu Aug 20 10:40:19 2020,Student,0.0001,64,20,0.99,0.5,0.9689034223556519,0.6525529265255293,0.680628272251309,0.6270783847980997,0.6235011990407674,0.6839378238341969,0.6508135168961202,0.6542750929368029,0.7754842638969421,Noise-using-synonym
Thu Aug 20 10:40:22 2020,Teacher,0.0001,64,20,0.99,0.5,0.9689034223556519,0.6500622665006227,0.6531531531531531,0.6462395543175488,0.6954436450839329,0.6010362694300518,0.6736353077816493,0.6228187919463087,0.624177098274231,Noise-using-synonym
Thu Aug 20 10:55:46 2020,Student,0.0001,64,25,0.99,0.5,0.9844517111778259,0.6425902864259029,0.6675257731958762,0.619277108433735,0.6211031175059952,0.6658031088082902,0.6434782608695652,0.641697877652934,0.8643506765365601,Noise-using-synonym
Thu Aug 20 10:55:49 2020,Teacher,0.0001,64,25,0.99,0.5,0.9844517111778259,0.651307596513076,0.6611764705882353,0.6402116402116402,0.6738609112709832,0.6269430051813472,0.667458432304038,0.6335078534031413,0.7102205753326416,Noise-using-synonym
Thu Aug 20 11:11:07 2020,Student,0.0001,64,30,0.99,0.5,0.990998387336731,0.6575342465753424,0.6698564593301436,0.6441558441558441,0.6714628297362111,0.6424870466321243,0.6706586826347305,0.6433203631647212,0.9737691879272461,Noise-using-synonym
Thu Aug 20 11:11:10 2020,Teacher,0.0001,64,30,0.99,0.5,0.990998387336731,0.6550435865504358,0.6666666666666666,0.6422976501305483,0.6714628297362111,0.6373056994818653,0.6690561529271206,0.6397919375812745,0.8240342140197754,Noise-using-synonym
Thu Aug 20 11:42:37 2020,Student,0.0001,64,10,0.99,0.5,0.7757773995399475,0.6749688667496887,0.6377551020408163,0.7767441860465116,0.8865248226950354,0.4394736842105263,0.7418397626112759,0.561344537815126,0.6139174103736877,Noise-using-synonym
Thu Aug 20 11:42:40 2020,Teacher,0.0001,64,10,0.99,0.5,0.7757773995399475,0.47198007471980075,0.3333333333333333,0.4725,0.002364066193853428,0.9947368421052631,0.004694835680751174,0.6406779661016949,0.690720796585083,Noise-using-synonym
Thu Aug 20 11:58:16 2020,Student,0.0001,64,15,0.99,0.5,0.5294598937034607,0.5603985056039851,0.5456919060052219,0.8648648648648649,0.9881796690307328,0.08421052631578947,0.7031118587047939,0.15347721822541965,0.6684815883636475,Noise-using-synonym
Thu Aug 20 11:58:19 2020,Teacher,0.0001,64,15,0.99,0.5,0.5294598937034607,0.6737235367372354,0.6248062015503876,0.8734177215189873,0.9527186761229315,0.3631578947368421,0.754681647940075,0.5130111524163569,0.6366574764251709,Noise-using-synonym
