Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,Classification_Loss,comment
Thu Jul 30 20:02:30 2020,Supervised_BILSTM,0.0001,64,10,NaN,NaN,0.8117839694023132,0.6475716064757161,0.6257425742574257,0.6845637583892618,0.7707317073170732,0.5190839694656488,0.6907103825136613,0.5904486251808972,0.6189621090888977,Baseline
Thu Jul 30 20:10:47 2020,Supervised_BILSTM,0.0001,64,10,NaN,NaN,0.7471358180046082,0.6587795765877957,0.7207977207977208,0.6106194690265486,0.5897435897435898,0.7379679144385026,0.6487179487179486,0.6682808716707022,0.6076679825782776,Baseline
Thu Jul 30 20:19:59 2020,Supervised_BILSTM,0.0001,64,10,NaN,NaN,0.7217676043510437,0.6674968866749689,0.6357388316151202,0.751131221719457,0.8705882352941177,0.43915343915343913,0.7348560079443893,0.5542570951585977,0.6195813417434692,Baseline
Thu Jul 30 22:05:51 2020,Student,0.0001,64,10,0.6,0.5,0.8699386715888977,0.5952677459526775,0.5670241286863271,0.9649122807017544,0.9952941176470588,0.1455026455026455,0.7224594363791631,0.2528735632183908,0.6330744624137878,Unlabelled Difference
Thu Jul 30 22:05:59 2020,Teacher,0.0001,64,10,0.6,0.5,0.8699386715888977,0.5927770859277709,0.5655080213903744,0.9636363636363636,0.9952941176470588,0.1402116402116402,0.7212276214833759,0.24480369515011546,0.6389300227165222,Unlabelled Difference
Thu Jul 30 22:11:07 2020,Supervised_BILSTM,0.0001,64,10,NaN,NaN,0.8003273606300354,0.6463262764632628,0.6032210834553441,0.8916666666666667,0.9694117647058823,0.2830687830687831,0.743682310469314,0.42971887550200805,0.6125316619873047,Baseline
Thu Jul 30 23:55:55 2020,Student,0.0001,64,10,0.6,0.5,0.6773006319999695,0.6537982565379825,0.6101949025487257,0.8676470588235294,0.9576470588235294,0.31216931216931215,0.7454212454212454,0.45914396887159536,0.633106529712677,Unlabelled Difference
Thu Jul 30 23:56:03 2020,Teacher,0.0001,64,10,0.6,0.5,0.6773006319999695,0.6537982565379825,0.6095380029806259,0.8787878787878788,0.9623529411764706,0.30687830687830686,0.7463503649635036,0.45490196078431366,0.6283719539642334,Unlabelled Difference
Fri Jul 31 00:01:01 2020,Supervised_BILSTM,0.0001,64,10,NaN,NaN,0.8011456727981567,0.6724782067247821,0.658203125,0.697594501718213,0.7929411764705883,0.5370370370370371,0.7193169690501602,0.6068759342301944,0.5823565125465393,Baseline
Fri Jul 31 01:45:27 2020,Student,0.0001,64,10,0.6,0.5,0.8656441569328308,0.5877957658779577,0.5625,0.9607843137254902,0.9952941176470588,0.12962962962962962,0.7187765505522515,0.22843822843822842,0.6467928886413574,Unlabelled Difference
