Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,Classification_Loss,comment
Sat Aug  8 16:48:48 2020,Student,0.0001,32,20,0.99,0.5,0.9926350116729736,0.5491905354919053,0.5352697095435685,0.675,0.937046004842615,0.13846153846153847,0.681338028169014,0.22978723404255322,0.7319093942642212,Unlabelled Difference
Sat Aug  8 16:48:52 2020,Teacher,0.0001,32,20,0.99,0.5,0.9926350116729736,0.5330012453300125,0.5251989389920424,0.6530612244897959,0.9588377723970944,0.08205128205128205,0.6786632390745502,0.14578587699316628,0.7522099018096924,Unlabelled Difference
Sat Aug  8 18:24:37 2020,Student,0.0001,32,15,0.99,0.5,0.9263502359390259,0.5255292652552926,0.7011494252873564,0.5041899441340782,0.1466346153846154,0.9328165374677002,0.242544731610338,0.6545784224841342,0.674453616142273,Unlabelled Difference
Sat Aug  8 18:24:41 2020,Teacher,0.0001,32,15,0.99,0.5,0.9263502359390259,0.5143212951432129,0.7321428571428571,0.4979919678714859,0.0985576923076923,0.9612403100775194,0.17372881355932204,0.6560846560846562,0.6712599992752075,Unlabelled Difference
Sat Aug  8 19:33:24 2020,Student,0.0001,32,15,0.99,0.5,0.8535188436508179,0.6475716064757161,0.6973293768545994,0.6115879828326181,0.5649038461538461,0.7364341085271318,0.6241699867197874,0.6682297772567409,0.7856758236885071,Unlabelled Difference
Sat Aug  8 19:33:28 2020,Teacher,0.0001,32,15,0.99,0.5,0.8535188436508179,0.589041095890411,0.7415730337078652,0.5456,0.3173076923076923,0.8811369509043928,0.4444444444444444,0.6739130434782609,0.6990823149681091,Unlabelled Difference
Sat Aug  8 20:42:26 2020,Student,0.0001,32,15,0.99,0.5,0.9247136116027832,0.5765877957658779,0.5503978779840849,0.9795918367346939,0.9975961538461539,0.12403100775193798,0.7094017094017094,0.2201834862385321,0.9609944224357605,Unlabelled Difference
Sat Aug  8 20:42:30 2020,Teacher,0.0001,32,15,0.99,0.5,0.9247136116027832,0.6064757160647571,0.569060773480663,0.9493670886075949,0.9903846153846154,0.1937984496124031,0.7228070175438597,0.3218884120171674,0.7491706609725952,Unlabelled Difference
Sun Aug  9 07:40:41 2020,Student,0.0001,32,15,0.99,0.5,0.8977086544036865,0.5143212951432129,0.5045751633986928,0.7105263157894737,0.9722921914357683,0.0665024630541872,0.6643717728055077,0.12162162162162163,0.7365303039550781,Unlabelled Difference
Sun Aug  9 07:40:46 2020,Teacher,0.0001,32,15,0.99,0.5,0.8977086544036865,0.5255292652552926,0.6666666666666666,0.5165562913907285,0.08060453400503778,0.9605911330049262,0.14382022471910114,0.6718346253229974,0.6713231205940247,Unlabelled Difference
Sun Aug  9 08:43:09 2020,Student,0.0001,32,15,0.99,0.5,0.978723406791687,0.5902864259028643,0.5776255707762558,0.6054794520547945,0.6372795969773299,0.5443349753694581,0.6059880239520959,0.5732814526588845,0.7067120671272278,Unlabelled Difference
Sun Aug  9 08:43:13 2020,Teacher,0.0001,32,15,0.99,0.5,0.978723406791687,0.5280199252801993,0.5131578947368421,0.6134453781512605,0.8841309823677582,0.17980295566502463,0.6493987049028678,0.2780952380952381,0.6842954754829407,Unlabelled Difference
Sun Aug  9 09:46:03 2020,Student,0.0001,32,15,0.99,0.5,0.9729951024055481,0.5168119551681195,0.5671641791044776,0.5122282608695652,0.09571788413098237,0.9285714285714286,0.16379310344827586,0.6602451838879159,0.7035682797431946,Unlabelled Difference
Sun Aug  9 09:46:06 2020,Teacher,0.0001,32,15,0.99,0.5,0.9729951024055481,0.5330012453300125,0.5154061624649859,0.6741573033707865,0.9269521410579346,0.1477832512315271,0.6624662466246624,0.24242424242424243,0.6908248066902161,Unlabelled Difference
Sun Aug  9 10:49:32 2020,Student,0.0001,32,15,0.99,0.5,0.9590834975242615,0.526774595267746,0.9047619047619048,0.5166240409207161,0.04785894206549118,0.9950738916256158,0.0909090909090909,0.6801346801346801,0.6816972494125366,Unlabelled Difference
Sun Aug  9 10:49:36 2020,Teacher,0.0001,32,15,0.99,0.5,0.9590834975242615,0.5404732254047323,0.5190735694822888,0.7681159420289855,0.9596977329974811,0.13054187192118227,0.6737400530503979,0.2231578947368421,0.6805746555328369,Unlabelled Difference
