Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,Classification_Loss,comment
Tue Aug 25 04:30:12 2020,Student,0.0001,64,10,0.99,0.5,0.9024984836578369,0.5778688524590164,0.5954198473282443,0.5575221238938053,0.609375,0.5431034482758621,0.6023166023166023,0.5502183406113538,0.677341103553772,Noise-using-synonym
Tue Aug 25 04:30:13 2020,Teacher,0.0001,64,10,0.99,0.5,0.9024984836578369,0.6885245901639344,0.6287128712871287,0.9761904761904762,0.9921875,0.35344827586206895,0.7696969696969695,0.5189873417721518,0.6575435996055603,Noise-using-synonym
Tue Aug 25 04:49:31 2020,Student,0.0001,64,15,0.99,0.5,0.9609993696212769,0.5942622950819673,0.6260869565217392,0.5658914728682171,0.5625,0.6293103448275862,0.5925925925925927,0.5959183673469388,0.7420777082443237,Noise-using-synonym
Tue Aug 25 04:49:31 2020,Teacher,0.0001,64,15,0.99,0.5,0.9609993696212769,0.6680327868852459,0.6192893401015228,0.8723404255319149,0.953125,0.35344827586206895,0.7507692307692309,0.5030674846625767,0.5819233059883118,Noise-using-synonym
Tue Aug 25 05:07:53 2020,Student,0.0001,64,20,0.99,0.5,0.972577691078186,0.5573770491803278,0.5714285714285714,0.5384615384615384,0.625,0.4827586206896552,0.5970149253731343,0.509090909090909,0.667795717716217,Noise-using-synonym
Tue Aug 25 05:07:54 2020,Teacher,0.0001,64,20,0.99,0.5,0.972577691078186,0.5737704918032787,0.5821917808219178,0.5612244897959183,0.6640625,0.47413793103448276,0.6204379562043796,0.514018691588785,0.6799450516700745,Noise-using-synonym
Tue Aug 25 05:28:19 2020,Student,0.0001,64,25,0.99,0.5,0.9926874041557312,0.5737704918032787,0.5857142857142857,0.5576923076923077,0.640625,0.5,0.6119402985074627,0.5272727272727272,0.9674260020256042,Noise-using-synonym
Tue Aug 25 05:28:20 2020,Teacher,0.0001,64,25,0.99,0.5,0.9926874041557312,0.5778688524590164,0.5862068965517241,0.5656565656565656,0.6640625,0.4827586206896552,0.6227106227106226,0.5209302325581395,0.7400044798851013,Noise-using-synonym
Tue Aug 25 05:49:01 2020,Student,0.0001,64,30,0.99,0.5,0.9945155382156372,0.610655737704918,0.6078431372549019,0.6153846153846154,0.7265625,0.4827586206896552,0.6619217081850532,0.5410628019323672,0.8573981523513794,Noise-using-synonym
Tue Aug 25 05:49:01 2020,Teacher,0.0001,64,30,0.99,0.5,0.9945155382156372,0.5860655737704918,0.5894039735099338,0.5806451612903226,0.6953125,0.46551724137931033,0.6379928315412186,0.5167464114832536,0.8185045123100281,Noise-using-synonym
