Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,Classification_Loss,comment
Thu Aug 13 21:11:03 2020,Student,0.0001,64,30,0.99,0.5,0.9648118019104004,0.5865504358655044,0.7777777777777778,0.5447647951441578,0.27184466019417475,0.9181585677749361,0.4028776978417266,0.6838095238095238,0.6466463208198547,Unlabelled Difference
Thu Aug 13 21:11:07 2020,Teacher,0.0001,64,30,0.99,0.5,0.9648118019104004,0.5603985056039851,0.697986577181208,0.5290519877675841,0.2524271844660194,0.8849104859335039,0.3707664884135472,0.6622009569377991,0.6396357417106628,Unlabelled Difference
Thu Aug 13 23:27:54 2020,Student,0.0001,64,30,0.99,0.5,0.948445200920105,0.5579078455790785,0.5403645833333334,0.9428571428571428,0.9952038369304557,0.08549222797927461,0.7004219409282701,0.15676959619952494,0.7713746428489685,Unlabelled Difference
Thu Aug 13 23:27:58 2020,Teacher,0.0001,64,30,0.99,0.5,0.948445200920105,0.5803237858032378,0.5543478260869565,0.8656716417910447,0.9784172661870504,0.15025906735751296,0.7077189939288812,0.2560706401766005,0.710752010345459,Unlabelled Difference
Fri Aug 14 01:13:07 2020,Student,0.0001,64,30,0.99,0.5,0.9869067072868347,0.5691158156911582,0.6181229773462783,0.5384615384615384,0.45584725536992843,0.6927083333333334,0.5247252747252746,0.6059225512528474,0.7329026460647583,Unlabelled Difference
Fri Aug 14 01:13:11 2020,Teacher,0.0001,64,30,0.99,0.5,0.9869067072868347,0.5828144458281445,0.6544117647058824,0.5461393596986818,0.42482100238663484,0.7552083333333334,0.5151953690303906,0.6338797814207651,0.6833405494689941,Unlabelled Difference
Fri Aug 14 02:58:38 2020,Student,0.0001,64,30,0.99,0.5,0.9803600907325745,0.5666251556662516,0.5508021390374331,0.7818181818181819,0.9716981132075472,0.11345646437994723,0.7030716723549488,0.19815668202764977,0.9063370227813721,Unlabelled Difference
Fri Aug 14 02:58:41 2020,Teacher,0.0001,64,30,0.99,0.5,0.9803600907325745,0.5790784557907845,0.5570291777188329,0.9183673469387755,0.9905660377358491,0.11873350923482849,0.7130730050933786,0.21028037383177572,0.8480823636054993,Unlabelled Difference
Fri Aug 14 04:41:07 2020,Student,0.0001,64,30,0.99,0.5,0.9885433912277222,0.5579078455790785,0.5403556771545828,0.7361111111111112,0.9541062801932367,0.13624678663239073,0.6899563318777292,0.2299349240780911,1.035895586013794,Unlabelled Difference
Fri Aug 14 04:41:10 2020,Teacher,0.0001,64,30,0.99,0.5,0.9885433912277222,0.5678704856787049,0.5453315290933695,0.828125,0.9734299516908212,0.13624678663239073,0.6990459670424979,0.23399558498896242,0.9064956903457642,Unlabelled Difference
Fri Aug 14 07:29:38 2020,Student,0.0001,64,30,0.99,0.5,0.990998387336731,0.5666251556662516,0.5945945945945946,0.5559380378657487,0.3384615384615385,0.7820823244552058,0.43137254901960786,0.6498993963782697,0.7624409794807434,Unlabelled Difference
Fri Aug 14 07:29:42 2020,Teacher,0.0001,64,30,0.99,0.5,0.990998387336731,0.5952677459526775,0.6051779935275081,0.5890688259109311,0.4794871794871795,0.7046004842615012,0.5350500715307582,0.6416758544652701,0.6454663872718811,Unlabelled Difference
Fri Aug 14 09:04:41 2020,Student,0.0001,64,30,0.99,0.5,0.9779050946235657,0.5454545454545454,0.5207182320441989,0.7721518987341772,0.9544303797468354,0.14950980392156862,0.6738159070598749,0.25051334702258726,0.8407642245292664,Unlabelled Difference
Fri Aug 14 09:04:44 2020,Teacher,0.0001,64,30,0.99,0.5,0.9779050946235657,0.5902864259028643,0.5479651162790697,0.8434782608695652,0.9544303797468354,0.23774509803921567,0.696214219759926,0.37093690248565964,0.6842090487480164,Unlabelled Difference
