Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,Classification_Loss,comment
Thu Aug 20 17:51:11 2020,Student,0.0001,64,10,0.99,0.5,0.5818330645561218,0.5691158156911582,0.5421686746987951,0.9285714285714286,0.9902200488997555,0.1319796954314721,0.7006920415224914,0.23111111111111113,0.6679427027702332,Noise-using-synonym
Thu Aug 20 17:51:13 2020,Teacher,0.0001,64,10,0.99,0.5,0.5818330645561218,0.572851805728518,0.555,0.625615763546798,0.8141809290953546,0.3223350253807107,0.6600594648166502,0.4254606365159129,0.6918556094169617,Noise-using-synonym
Thu Aug 20 18:07:22 2020,Student,0.0001,64,15,0.99,0.5,0.8805237412452698,0.6400996264009963,0.803030303030303,0.5867768595041323,0.38875305623471884,0.9010152284263959,0.5238879736408567,0.7107107107107108,0.6429688930511475,Noise-using-synonym
Thu Aug 20 18:07:23 2020,Teacher,0.0001,64,15,0.99,0.5,0.8805237412452698,0.6226650062266501,0.5793413173652695,0.837037037037037,0.9462102689486552,0.2868020304568528,0.7186629526462396,0.42722117202268434,0.6837241053581238,Noise-using-synonym
Thu Aug 20 18:23:31 2020,Student,0.0001,64,20,0.99,0.5,0.8887070417404175,0.6264009962640099,0.7261410788381742,0.5836298932384342,0.4278728606356968,0.8324873096446701,0.5384615384615384,0.6861924686192468,0.6761234998703003,Noise-using-synonym
Thu Aug 20 18:23:32 2020,Teacher,0.0001,64,20,0.99,0.5,0.8887070417404175,0.5803237858032378,0.8529411764705882,0.5406562054208274,0.21271393643031786,0.9619289340101523,0.34050880626223096,0.6922374429223744,0.6761714220046997,Noise-using-synonym
Thu Aug 20 18:39:31 2020,Student,0.0001,64,25,0.99,0.5,0.7585924863815308,0.5317559153175592,0.7538461538461538,0.5121951219512195,0.1198044009779951,0.9593908629441624,0.20675105485232068,0.6678445229681979,0.6866980791091919,Noise-using-synonym
Thu Aug 20 18:39:32 2020,Teacher,0.0001,64,25,0.99,0.5,0.7585924863815308,0.523038605230386,0.782608695652174,0.5072655217965654,0.08801955990220049,0.9746192893401016,0.15824175824175823,0.6672458731537793,0.6910649538040161,Noise-using-synonym
Thu Aug 20 18:55:39 2020,Student,0.0001,64,30,0.99,0.5,0.8952536582946777,0.5877957658779577,0.8095238095238095,0.5465288035450517,0.24938875305623473,0.9390862944162437,0.38130841121495335,0.6909430438842205,0.6712658405303955,Noise-using-synonym
Thu Aug 20 18:55:40 2020,Teacher,0.0001,64,30,0.99,0.5,0.8952536582946777,0.5354919053549191,0.8333333333333334,0.514018691588785,0.1100244498777506,0.9771573604060914,0.19438444924406045,0.673665791776028,0.6962663531303406,Noise-using-synonym
Thu Aug 20 19:28:04 2020,Student,0.0001,64,10,0.99,0.5,0.8551554679870605,0.663760896637609,0.6206896551724138,0.7757847533632287,0.8780487804878049,0.4402035623409669,0.7272727272727273,0.5616883116883118,0.6471439003944397,Noise-using-synonym
Thu Aug 20 19:28:06 2020,Teacher,0.0001,64,10,0.99,0.5,0.8551554679870605,0.5927770859277709,0.5796545105566219,0.6170212765957447,0.7365853658536585,0.44274809160305345,0.6487647690655209,0.5155555555555555,0.6850353479385376,Noise-using-synonym
Thu Aug 20 19:44:15 2020,Student,0.0001,64,15,0.99,0.5,0.9566285014152527,0.5853051058530511,0.6254071661237784,0.5604838709677419,0.4682926829268293,0.7073791348600509,0.5355648535564853,0.625421822272216,1.5943800210952759,Noise-using-synonym
Thu Aug 20 19:44:16 2020,Teacher,0.0001,64,15,0.99,0.5,0.9566285014152527,0.6326276463262764,0.5864661654135338,0.855072463768116,0.9512195121951219,0.30025445292620867,0.7255813953488371,0.4444444444444445,0.6243454217910767,Noise-using-synonym
Thu Aug 20 20:00:22 2020,Student,0.0001,64,20,0.99,0.5,0.9762684106826782,0.5915317559153176,0.625,0.5684210526315789,0.5,0.6870229007633588,0.5555555555555556,0.6221198156682028,1.716916799545288,Noise-using-synonym
Thu Aug 20 20:00:23 2020,Teacher,0.0001,64,20,0.99,0.5,0.9762684106826782,0.6562889165628891,0.6171328671328671,0.7532467532467533,0.8609756097560975,0.44274809160305345,0.7189409368635438,0.5576923076923077,1.0118666887283325,Noise-using-synonym
Thu Aug 20 20:16:21 2020,Student,0.0001,64,25,0.99,0.5,0.9623568058013916,0.6525529265255293,0.6065040650406504,0.8031914893617021,0.9097560975609756,0.3842239185750636,0.7278048780487805,0.5197934595524957,1.018126130104065,Noise-using-synonym
Thu Aug 20 20:16:23 2020,Teacher,0.0001,64,25,0.99,0.5,0.9623568058013916,0.6413449564134496,0.6070175438596491,0.7253218884120172,0.8439024390243902,0.4300254452926209,0.7061224489795918,0.5399361022364217,1.1186723709106445,Noise-using-synonym
Thu Aug 20 20:32:22 2020,Student,0.0001,64,30,0.99,0.5,0.9901800155639648,0.6002490660024906,0.6246498599439776,0.5807174887892377,0.5439024390243903,0.6590330788804071,0.5814863102998696,0.6174016686531585,1.5574586391448975,Noise-using-synonym
Thu Aug 20 20:32:23 2020,Teacher,0.0001,64,30,0.99,0.5,0.9901800155639648,0.5990037359900373,0.5876494023904383,0.6179401993355482,0.7195121951219512,0.4732824427480916,0.6469298245614035,0.5360230547550433,1.1377239227294922,Noise-using-synonym
