Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,Classification_Loss,comment
Thu Aug 20 07:36:23 2020,Student,0.0001,64,10,0.99,0.5,0.7954173684120178,0.5504358655043586,0.9464285714285714,0.5207496653279786,0.12895377128953772,0.9923469387755102,0.22698072805139188,0.6830553116769096,0.6283764839172363,Noise-using-synonym
Thu Aug 20 07:36:27 2020,Teacher,0.0001,64,10,0.99,0.5,0.7954173684120178,0.5342465753424658,0.5353728489483748,0.5321428571428571,0.681265206812652,0.38010204081632654,0.5995717344753747,0.44345238095238093,0.6886404156684875,Noise-using-synonym
Thu Aug 20 08:22:23 2020,Student,0.0001,64,15,0.99,0.5,0.9042553305625916,0.6077210460772104,0.5672268907563025,0.9325842696629213,0.9854014598540146,0.21173469387755103,0.72,0.3451143451143452,0.7353517413139343,Noise-using-synonym
Thu Aug 20 08:22:26 2020,Teacher,0.0001,64,15,0.99,0.5,0.9042553305625916,0.5603985056039851,0.5386666666666666,0.8679245283018868,0.9829683698296837,0.11734693877551021,0.6959517657192076,0.20674157303370788,0.6868405938148499,Noise-using-synonym
Thu Aug 20 09:07:06 2020,Student,0.0001,64,20,0.99,0.5,0.9590834975242615,0.5840597758405978,0.5522388059701493,0.9393939393939394,0.9902676399026764,0.15816326530612246,0.7090592334494774,0.27074235807860264,0.7911601662635803,Noise-using-synonym
Thu Aug 20 09:07:10 2020,Teacher,0.0001,64,20,0.99,0.5,0.9590834975242615,0.5790784557907845,0.5488621151271754,0.9821428571428571,0.9975669099756691,0.14030612244897958,0.7081174438687392,0.24553571428571427,0.7341843843460083,Noise-using-synonym
Thu Aug 20 09:54:56 2020,Student,0.0001,64,25,0.99,0.5,0.9795417189598083,0.5678704856787049,0.5435967302452316,0.8260869565217391,0.9708029197080292,0.14540816326530612,0.6969432314410481,0.24728850325379606,0.6847707629203796,Noise-using-synonym
Thu Aug 20 09:55:00 2020,Teacher,0.0001,64,25,0.99,0.5,0.9795417189598083,0.5840597758405978,0.5516778523489932,1.0,1.0,0.14795918367346939,0.7110726643598615,0.2577777777777778,0.7311819195747375,Noise-using-synonym
Thu Aug 20 10:43:50 2020,Student,0.0001,64,30,0.99,0.5,0.9901800155639648,0.5541718555417185,0.5370629370629371,0.6931818181818182,0.9343065693430657,0.1556122448979592,0.6820603907637657,0.25416666666666665,0.7503145933151245,Noise-using-synonym
Thu Aug 20 10:43:54 2020,Teacher,0.0001,64,30,0.99,0.5,0.9901800155639648,0.572851805728518,0.5461956521739131,0.8656716417910447,0.9781021897810219,0.14795918367346939,0.7009590235396688,0.25272331154684097,0.7357171177864075,Noise-using-synonym
