Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,Classification_Loss,comment
Thu Aug 13 20:58:33 2020,Student,0.0001,64,30,0.99,0.5,0.9590834975242615,0.5155666251556662,0.5134328358208955,0.5170940170940171,0.4321608040201005,0.5975308641975309,0.46930422919508863,0.5544100801832761,0.6546986103057861,Unlabelled Difference
Thu Aug 13 20:58:36 2020,Teacher,0.0001,64,30,0.99,0.5,0.9590834975242615,0.49688667496886674,0.48695652173913045,0.5008726003490401,0.2814070351758794,0.7086419753086419,0.356687898089172,0.5869120654396728,0.694222629070282,Unlabelled Difference
Thu Aug 13 23:12:36 2020,Student,0.0001,64,30,0.99,0.5,0.9795417189598083,0.5591531755915318,0.5446808510638298,0.6632653061224489,0.920863309352518,0.16839378238341968,0.6844919786096259,0.26859504132231404,0.7492485046386719,Unlabelled Difference
Thu Aug 13 23:12:40 2020,Teacher,0.0001,64,30,0.99,0.5,0.9795417189598083,0.5616438356164384,0.5443383356070941,0.7428571428571429,0.9568345323741008,0.13471502590673576,0.6939130434782609,0.2280701754385965,0.7549763321876526,Unlabelled Difference
Fri Aug 14 00:41:48 2020,Student,0.0001,64,30,0.99,0.5,0.969721794128418,0.5591531755915318,0.6199261992619927,0.5281954887218046,0.4009546539379475,0.7317708333333334,0.4869565217391305,0.6135371179039301,0.6945579648017883,Unlabelled Difference
Fri Aug 14 00:41:52 2020,Teacher,0.0001,64,30,0.99,0.5,0.969721794128418,0.5491905354919053,0.7938144329896907,0.5155807365439093,0.18377088305489261,0.9479166666666666,0.2984496124031008,0.6678899082568808,0.6600891947746277,Unlabelled Difference
Fri Aug 14 02:09:42 2020,Student,0.0001,64,30,0.99,0.5,0.9517185091972351,0.6002490660024906,0.571830985915493,0.8172043010752689,0.9598108747044918,0.2,0.7166813768755517,0.321353065539112,0.9871577024459839,Unlabelled Difference
Fri Aug 14 02:09:46 2020,Teacher,0.0001,64,30,0.99,0.5,0.9517185091972351,0.6413449564134496,0.6049766718506998,0.7875,0.9196217494089834,0.33157894736842103,0.7298311444652908,0.4666666666666666,0.7731882929801941,Unlabelled Difference
Fri Aug 14 03:37:19 2020,Student,0.0001,64,30,0.99,0.5,0.9729951024055481,0.572851805728518,0.5813953488372093,0.5606060606060606,0.6547619047619048,0.4830287206266319,0.6159014557670773,0.5189340813464235,0.7210383415222168,Unlabelled Difference
Fri Aug 14 03:37:23 2020,Teacher,0.0001,64,30,0.99,0.5,0.9729951024055481,0.5703611457036114,0.5557206537890045,0.6461538461538462,0.8904761904761904,0.2193211488250653,0.6843549862763038,0.3274853801169591,0.6923690438270569,Unlabelled Difference
Fri Aug 14 05:05:26 2020,Student,0.0001,64,30,0.99,0.5,0.9525368213653564,0.572851805728518,0.5975,0.5483870967741935,0.5676959619952494,0.5785340314136126,0.582216808769793,0.5630573248407644,0.7262948751449585,Unlabelled Difference
Fri Aug 14 05:05:29 2020,Teacher,0.0001,64,30,0.99,0.5,0.9525368213653564,0.5703611457036114,0.6104651162790697,0.5403050108932462,0.498812351543943,0.6492146596858639,0.5490196078431372,0.5897740784780023,0.6866835951805115,Unlabelled Difference
Fri Aug 14 07:18:55 2020,Student,0.0001,64,30,0.99,0.5,0.950900137424469,0.5417185554171855,0.9574468085106383,0.5158730158730159,0.10948905109489052,0.9948979591836735,0.1965065502183406,0.6794425087108015,0.935982882976532,Unlabelled Difference
Fri Aug 14 07:19:00 2020,Teacher,0.0001,64,30,0.99,0.5,0.950900137424469,0.5442092154420921,0.9090909090909091,0.517379679144385,0.12165450121654502,0.9872448979591837,0.2145922746781116,0.6789473684210526,0.8475276231765747,Unlabelled Difference
Fri Aug 14 08:44:09 2020,Student,0.0001,64,30,0.99,0.5,0.9165302515029907,0.5155666251556662,0.5204778156996587,0.5023041474654378,0.738498789346247,0.2794871794871795,0.6106106106106106,0.35914332784184516,0.7104281783103943,Unlabelled Difference
Fri Aug 14 08:44:12 2020,Teacher,0.0001,64,30,0.99,0.5,0.9165302515029907,0.589041095890411,0.6269113149847095,0.5630252100840336,0.4963680387409201,0.6871794871794872,0.5540540540540541,0.6189376443418014,0.6675271987915039,Unlabelled Difference
Fri Aug 14 10:09:42 2020,Student,0.0001,64,30,0.99,0.5,0.9582651257514954,0.5990037359900373,0.5675675675675675,0.9682539682539683,0.995260663507109,0.16010498687664043,0.7228915662650602,0.27477477477477474,0.8327319622039795,Unlabelled Difference
Fri Aug 14 10:09:46 2020,Teacher,0.0001,64,30,0.99,0.5,0.9582651257514954,0.5927770859277709,0.5634178905206942,1.0,1.0,0.14173228346456693,0.7207514944491886,0.2482758620689655,0.7658628225326538,Unlabelled Difference
