Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,Classification_Loss,comment
Thu Aug 20 17:34:29 2020,Student,0.0001,64,10,0.99,0.5,0.6800327301025391,0.6438356164383562,0.6935064935064935,0.5980861244019139,0.6137931034482759,0.6793478260869565,0.651219512195122,0.6361323155216285,0.894275963306427,Noise-using-dropout
Thu Aug 20 17:34:31 2020,Teacher,0.0001,64,10,0.99,0.5,0.6800327301025391,0.45828144458281445,0.0,0.45828144458281445,0.0,1.0,0.0,0.6285226302305721,0.6914487481117249,Noise-using-dropout
Thu Aug 20 17:42:25 2020,Student,0.0001,64,15,0.99,0.5,0.8625204563140869,0.5616438356164384,0.9278350515463918,0.5113314447592068,0.20689655172413793,0.9809782608695652,0.3383458646616541,0.6722532588454375,1.6090209484100342,Noise-using-dropout
Thu Aug 20 17:42:26 2020,Teacher,0.0001,64,15,0.99,0.5,0.8625204563140869,0.6077210460772104,0.8409090909090909,0.5422647527910686,0.34022988505747126,0.9239130434782609,0.4844517184942717,0.6834170854271356,0.6732166409492493,Noise-using-dropout
Thu Aug 20 17:50:21 2020,Student,0.0001,64,20,0.99,0.5,0.9476268291473389,0.663760896637609,0.7363896848137536,0.6079295154185022,0.5908045977011495,0.75,0.6556122448979591,0.6715328467153285,0.8934561014175415,Noise-using-dropout
Thu Aug 20 17:50:23 2020,Teacher,0.0001,64,20,0.99,0.5,0.9476268291473389,0.5865504358655044,0.8238993710691824,0.5279503105590062,0.30114942528735633,0.9239130434782609,0.44107744107744107,0.6719367588932806,0.6814651489257812,Noise-using-dropout
Thu Aug 20 17:58:12 2020,Student,0.0001,64,25,0.99,0.5,0.9713584184646606,0.5753424657534246,0.873015873015873,0.5199409158050221,0.25287356321839083,0.9565217391304348,0.3921568627450981,0.6736842105263158,1.5185823440551758,Noise-using-dropout
Thu Aug 20 17:58:13 2020,Teacher,0.0001,64,25,0.99,0.5,0.9713584184646606,0.5765877957658779,0.8187919463087249,0.5214067278287462,0.28045977011494255,0.9266304347826086,0.4178082191780822,0.6673189823874756,1.0261496305465698,Noise-using-dropout
Thu Aug 20 18:06:03 2020,Student,0.0001,64,30,0.99,0.5,0.978723406791687,0.6450809464508095,0.7697841726618705,0.579047619047619,0.49195402298850577,0.8260869565217391,0.600280504908836,0.6808510638297872,1.3437758684158325,Noise-using-dropout
Thu Aug 20 18:06:05 2020,Teacher,0.0001,64,30,0.99,0.5,0.978723406791687,0.5790784557907845,0.825503355704698,0.5229357798165137,0.2827586206896552,0.9293478260869565,0.42123287671232884,0.6692759295499021,1.2243958711624146,Noise-using-dropout
Thu Aug 20 18:21:56 2020,Student,0.0001,64,10,0.99,0.5,0.8027822971343994,0.6824408468244084,0.6722689075630253,0.6972477064220184,0.7637231503579952,0.59375,0.7150837988826815,0.6413502109704642,0.5960341691970825,Noise-using-dropout
Thu Aug 20 18:21:57 2020,Teacher,0.0001,64,10,0.99,0.5,0.8027822971343994,0.6102117061021171,0.5854838709677419,0.6939890710382514,0.8663484486873508,0.3307291666666667,0.6987487969201155,0.4479717813051147,0.6849950551986694,Noise-using-dropout
Thu Aug 20 18:29:43 2020,Student,0.0001,64,15,0.99,0.5,0.9001636505126953,0.5927770859277709,0.6059907834101382,0.5772357723577236,0.6276849642004774,0.5546875,0.6166471277842908,0.5657370517928287,0.7683699131011963,Noise-using-dropout
Thu Aug 20 18:29:44 2020,Teacher,0.0001,64,15,0.99,0.5,0.9001636505126953,0.6413449564134496,0.6003062787136294,0.82,0.9355608591885441,0.3203125,0.7313432835820896,0.4606741573033708,0.631467342376709,Noise-using-dropout
Thu Aug 20 18:37:40 2020,Student,0.0001,64,20,0.99,0.5,0.9558101296424866,0.5815691158156912,0.643598615916955,0.546692607003891,0.4439140811455847,0.7317708333333334,0.5254237288135594,0.6258351893095768,1.1579850912094116,Noise-using-dropout
Thu Aug 20 18:37:41 2020,Teacher,0.0001,64,20,0.99,0.5,0.9558101296424866,0.597758405977584,0.6030042918454935,0.5905044510385756,0.6706443914081146,0.5182291666666666,0.6350282485875707,0.5520110957004161,0.5751526951789856,Noise-using-dropout
Thu Aug 20 18:45:36 2020,Student,0.0001,64,25,0.99,0.5,0.9680851101875305,0.597758405977584,0.7926829268292683,0.5477308294209703,0.31026252983293556,0.9114583333333334,0.44596912521440824,0.6842619745845553,1.4244358539581299,Noise-using-dropout
Thu Aug 20 18:45:37 2020,Teacher,0.0001,64,25,0.99,0.5,0.9680851101875305,0.5703611457036114,0.6284722222222222,0.537864077669903,0.431980906921241,0.7213541666666666,0.5120226308345119,0.6162402669632925,0.8729607462882996,Noise-using-dropout
Thu Aug 20 18:53:30 2020,Student,0.0001,64,30,0.99,0.5,0.9836333990097046,0.6376089663760897,0.6523809523809524,0.6214099216710183,0.6539379474940334,0.6197916666666666,0.6531585220500596,0.620599739243807,1.4290189743041992,Noise-using-dropout
Thu Aug 20 18:53:31 2020,Teacher,0.0001,64,30,0.99,0.5,0.9836333990097046,0.589041095890411,0.6386292834890965,0.5560165975103735,0.4892601431980907,0.6979166666666666,0.554054054054054,0.6189376443418013,1.0723718404769897,Noise-using-dropout
Thu Aug 20 19:09:32 2020,Student,0.0001,64,10,0.99,0.5,0.7905073761940002,0.660024906600249,0.6792873051224945,0.635593220338983,0.7027649769585254,0.6097560975609756,0.6908267270668178,0.6224066390041494,0.741090714931488,Noise-using-dropout
Thu Aug 20 19:09:34 2020,Teacher,0.0001,64,10,0.99,0.5,0.7905073761940002,0.5317559153175592,0.9833333333333333,0.4952893674293405,0.1359447004608295,0.997289972899729,0.23886639676113358,0.6618705035971223,0.6843711137771606,Noise-using-dropout
Thu Aug 20 19:17:25 2020,Student,0.0001,64,15,0.99,0.5,0.9181669354438782,0.651307596513076,0.6410256410256411,0.6731517509727627,0.8064516129032258,0.46883468834688347,0.7142857142857142,0.5527156549520766,0.8567196130752563,Noise-using-dropout
Thu Aug 20 19:17:27 2020,Teacher,0.0001,64,15,0.99,0.5,0.9181669354438782,0.663760896637609,0.6428571428571429,0.7161572052401747,0.8502304147465438,0.4444444444444444,0.7321428571428572,0.5484949832775919,0.6224105954170227,Noise-using-dropout
Thu Aug 20 19:25:20 2020,Student,0.0001,64,20,0.99,0.5,0.9623568058013916,0.5591531755915318,0.6801801801801802,0.5129087779690189,0.347926267281106,0.8075880758807588,0.4603658536585366,0.6273684210526315,2.3461966514587402,Noise-using-dropout
Thu Aug 20 19:25:21 2020,Teacher,0.0001,64,20,0.99,0.5,0.9623568058013916,0.6612702366127023,0.6462093862815884,0.6947791164658634,0.8248847926267281,0.46883468834688347,0.7246963562753036,0.5598705501618123,0.7223957180976868,Noise-using-dropout
Thu Aug 20 19:33:14 2020,Student,0.0001,64,25,0.99,0.5,0.9762684106826782,0.5877957658779577,0.6973180076628352,0.5350553505535055,0.41935483870967744,0.7859078590785907,0.5237410071942447,0.6366630076838639,2.0660173892974854,Noise-using-dropout
Thu Aug 20 19:33:15 2020,Teacher,0.0001,64,25,0.99,0.5,0.9762684106826782,0.6251556662515566,0.6487695749440716,0.5955056179775281,0.6682027649769585,0.5745257452574526,0.6583427922814983,0.5848275862068966,1.1575171947479248,Noise-using-dropout
Thu Aug 20 19:41:14 2020,Student,0.0001,64,30,0.99,0.5,0.9860883951187134,0.6226650062266501,0.6585956416464891,0.5846153846153846,0.6267281105990783,0.6178861788617886,0.6422668240850058,0.6007905138339922,1.6083780527114868,Noise-using-dropout
Thu Aug 20 19:41:15 2020,Teacher,0.0001,64,30,0.99,0.5,0.9860883951187134,0.6127023661270237,0.654911838790932,0.5714285714285714,0.5990783410138248,0.6287262872628726,0.6257521058965102,0.5987096774193548,1.2725931406021118,Noise-using-dropout
Thu Aug 20 19:57:18 2020,Student,0.0001,64,10,0.99,0.5,0.7536824941635132,0.6201743462017435,0.6676136363636364,0.5831485587583148,0.5555555555555556,0.6921052631578948,0.6064516129032257,0.6329723225030085,0.7780338525772095,Noise-using-dropout
Thu Aug 20 19:57:19 2020,Teacher,0.0001,64,10,0.99,0.5,0.7536824941635132,0.48692403486924035,1.0,0.4797979797979798,0.026004728132387706,1.0,0.05069124423963134,0.6484641638225256,0.6892032027244568,Noise-using-dropout
Thu Aug 20 20:05:11 2020,Student,0.0001,64,15,0.99,0.5,0.8617021441459656,0.635118306351183,0.65625,0.6124031007751938,0.6453900709219859,0.6236842105263158,0.6507747318235995,0.6179921773142112,1.0223525762557983,Noise-using-dropout
Thu Aug 20 20:05:12 2020,Teacher,0.0001,64,15,0.99,0.5,0.8617021441459656,0.635118306351183,0.6737967914438503,0.6013986013986014,0.5957446808510638,0.6789473684210526,0.6323713927227101,0.6378244746600742,0.6593173146247864,Noise-using-dropout
Thu Aug 20 20:12:59 2020,Student,0.0001,64,20,0.99,0.5,0.9099836349487305,0.6475716064757161,0.6310861423220974,0.6802973977695167,0.7966903073286052,0.48157894736842105,0.7042842215256009,0.563944530046225,0.9817516803741455,Noise-using-dropout
