Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,Classification_Loss,comment
Thu Aug 20 06:41:59 2020,Student,0.0001,64,10,0.99,0.5,0.8428805470466614,0.5803237858032378,0.5614035087719298,0.8064516129032258,0.9719626168224299,0.13333333333333333,0.7117194183062446,0.22883295194508008,0.6684727072715759,Noise-using-dropout
Thu Aug 20 06:42:04 2020,Teacher,0.0001,64,10,0.99,0.5,0.8428805470466614,0.5716064757160647,0.5573770491803278,0.7183098591549296,0.9532710280373832,0.136,0.7034482758620688,0.22869955156950675,0.6890230178833008,Noise-using-dropout
Thu Aug 20 06:56:49 2020,Student,0.0001,64,15,0.99,0.5,0.9042553305625916,0.5915317559153176,0.6016260162601627,0.5755627009646302,0.6915887850467289,0.47733333333333333,0.6434782608695653,0.521865889212828,0.6996370553970337,Noise-using-dropout
Thu Aug 20 06:56:53 2020,Teacher,0.0001,64,15,0.99,0.5,0.9042553305625916,0.5778331257783312,0.5590969455511288,0.86,0.9836448598130841,0.11466666666666667,0.7129551227773072,0.20235294117647057,0.674686849117279,Noise-using-dropout
Thu Aug 20 07:11:41 2020,Student,0.0001,64,20,0.99,0.5,0.9558101296424866,0.6052303860523038,0.5834586466165413,0.7101449275362319,0.9065420560747663,0.2613333333333333,0.7099725526075022,0.3820662768031189,0.7165628671646118,Noise-using-dropout
Thu Aug 20 07:11:45 2020,Teacher,0.0001,64,20,0.99,0.5,0.9558101296424866,0.5927770859277709,0.5676037483266398,0.9285714285714286,0.9906542056074766,0.13866666666666666,0.7217021276595745,0.24129930394431554,0.6623410582542419,Noise-using-dropout
Thu Aug 20 07:26:32 2020,Student,0.0001,64,25,0.99,0.5,0.957446813583374,0.5056039850560399,0.5296367112810707,0.4607142857142857,0.647196261682243,0.344,0.5825446898002103,0.3938931297709923,0.7427669763565063,Noise-using-dropout
Thu Aug 20 07:26:36 2020,Teacher,0.0001,64,25,0.99,0.5,0.957446813583374,0.589041095890411,0.5692090395480226,0.7368421052631579,0.9415887850467289,0.18666666666666668,0.709507042253521,0.2978723404255319,0.6602470278739929,Noise-using-dropout
Thu Aug 20 07:41:21 2020,Student,0.0001,64,30,0.99,0.5,0.9828150868415833,0.5541718555417185,0.6258992805755396,0.5161904761904762,0.40654205607476634,0.7226666666666667,0.4929178470254958,0.6022222222222222,0.768943190574646,Noise-using-dropout
Thu Aug 20 07:41:25 2020,Teacher,0.0001,64,30,0.99,0.5,0.9828150868415833,0.6027397260273972,0.5793304221251819,0.7413793103448276,0.9299065420560748,0.22933333333333333,0.7139013452914799,0.35030549898167,0.6765293478965759,Noise-using-dropout
Thu Aug 20 08:11:31 2020,Student,0.0001,64,10,0.99,0.5,0.792962372303009,0.5952677459526775,0.5628491620111732,0.8620689655172413,0.9710843373493976,0.19329896907216496,0.7126436781609194,0.31578947368421056,0.7749631404876709,Noise-using-dropout
Thu Aug 20 08:11:34 2020,Teacher,0.0001,64,10,0.99,0.5,0.792962372303009,0.564134495641345,0.5485799701046338,0.6417910447761194,0.8843373493975903,0.22164948453608246,0.6771217712177122,0.32950191570881227,0.6898010969161987,Noise-using-dropout
Thu Aug 20 08:26:15 2020,Student,0.0001,64,15,0.99,0.5,0.8977086544036865,0.5865504358655044,0.5575589459084604,0.8414634146341463,0.9686746987951808,0.17783505154639176,0.7077464788732395,0.2936170212765958,0.8876673579216003,Noise-using-dropout
